source,condition,k,micro_jaccard,exact_context_fraction
vlsat,linear_full,5,1.0,1.0
vlsat,linear_full,10,1.0,1.0
vlsat,linear_full,20,1.0,1.0
vlsat,linear_full,50,1.0,1.0
vlsat,linear_full,100,1.0,1.0
vlsat,linear_no_pairwise,5,1.0,1.0
vlsat,linear_no_pairwise,10,1.0,1.0
vlsat,linear_no_pairwise,20,1.0,1.0
vlsat,linear_no_pairwise,50,1.0,1.0
vlsat,linear_no_pairwise,100,1.0,1.0
vlsat,linear_no_averaging,5,1.0,1.0
vlsat,linear_no_averaging,10,0.9989057085537115,0.9945255474452555
vlsat,linear_no_averaging,20,0.9989057085537115,0.9890510948905109
vlsat,linear_no_averaging,50,0.9970845481049563,0.9288321167883211
vlsat,linear_no_averaging,100,0.9962842883683655,0.8266423357664233
vlsat,mlp_full,5,1.0,1.0
vlsat,mlp_full,10,1.0,1.0
vlsat,mlp_full,20,1.0,1.0
vlsat,mlp_full,50,1.0,1.0
vlsat,mlp_full,100,1.0,1.0
vlsat,mlp_no_pairwise,5,1.0,1.0
vlsat,mlp_no_pairwise,10,1.0,1.0
vlsat,mlp_no_pairwise,20,1.0,1.0
vlsat,mlp_no_pairwise,50,1.0,1.0
vlsat,mlp_no_pairwise,100,1.0,1.0
vlsat,mlp_no_averaging,5,0.9712230215827338,0.9288321167883211
vlsat,mlp_no_averaging,10,0.9786965156165373,0.8978102189781022
vlsat,mlp_no_averaging,20,0.9735302061762853,0.7609489051094891
vlsat,mlp_no_averaging,50,0.971790443293034,0.4543795620437956
vlsat,mlp_no_averaging,100,0.9750950604602548,0.24817518248175183
open3dsg,linear_full,5,1.0,1.0
open3dsg,linear_full,10,1.0,1.0
open3dsg,linear_full,20,1.0,1.0
open3dsg,linear_full,50,1.0,1.0
open3dsg,linear_full,100,1.0,1.0
open3dsg,linear_no_pairwise,5,1.0,1.0
open3dsg,linear_no_pairwise,10,1.0,1.0
open3dsg,linear_no_pairwise,20,1.0,1.0
open3dsg,linear_no_pairwise,50,1.0,1.0
open3dsg,linear_no_pairwise,100,1.0,1.0
open3dsg,linear_no_averaging,5,0.9784706755753526,0.9470802919708029
open3dsg,linear_no_averaging,10,0.9635291950635476,0.8266423357664233
open3dsg,linear_no_averaging,20,0.9655204203927353,0.708029197080292
open3dsg,linear_no_averaging,50,0.9788269380780803,0.583941605839416
open3dsg,linear_no_averaging,100,0.9847131829877402,0.45255474452554745
open3dsg,mlp_full,5,1.0,1.0
open3dsg,mlp_full,10,1.0,1.0
open3dsg,mlp_full,20,1.0,1.0
open3dsg,mlp_full,50,1.0,1.0
open3dsg,mlp_full,100,1.0,1.0
open3dsg,mlp_no_pairwise,5,1.0,1.0
open3dsg,mlp_no_pairwise,10,1.0,1.0
open3dsg,mlp_no_pairwise,20,1.0,1.0
open3dsg,mlp_no_pairwise,50,1.0,1.0
open3dsg,mlp_no_pairwise,100,1.0,1.0
open3dsg,mlp_no_averaging,5,0.697452229299363,0.46167883211678834
open3dsg,mlp_no_averaging,10,0.7418300653594772,0.2937956204379562
open3dsg,mlp_no_averaging,20,0.7291159772911597,0.12773722627737227
open3dsg,mlp_no_averaging,50,0.7948787061994609,0.05656934306569343
open3dsg,mlp_no_averaging,100,0.8623444406966216,0.09854014598540146
sgfn,linear_full,5,1.0,1.0
sgfn,linear_full,10,1.0,1.0
sgfn,linear_full,20,1.0,1.0
sgfn,linear_full,50,1.0,1.0
sgfn,linear_full,100,1.0,1.0
sgfn,linear_no_pairwise,5,1.0,1.0
sgfn,linear_no_pairwise,10,1.0,1.0
sgfn,linear_no_pairwise,20,1.0,1.0
sgfn,linear_no_pairwise,50,1.0,1.0
sgfn,linear_no_pairwise,100,1.0,1.0
sgfn,linear_no_averaging,5,1.0,1.0
sgfn,linear_no_averaging,10,1.0,1.0
sgfn,linear_no_averaging,20,0.999635103083379,0.9963503649635036
sgfn,linear_no_averaging,50,0.9993432814039184,0.9835766423357665
sgfn,linear_no_averaging,100,0.9971937241467281,0.8667883211678832
sgfn,mlp_full,5,1.0,1.0
sgfn,mlp_full,10,1.0,1.0
sgfn,mlp_full,20,1.0,1.0
sgfn,mlp_full,50,1.0,1.0
sgfn,mlp_full,100,1.0,1.0
sgfn,mlp_no_pairwise,5,1.0,1.0
sgfn,mlp_no_pairwise,10,1.0,1.0
sgfn,mlp_no_pairwise,20,1.0,1.0
sgfn,mlp_no_pairwise,50,1.0,1.0
sgfn,mlp_no_pairwise,100,1.0,1.0
sgfn,mlp_no_averaging,5,1.0,1.0
sgfn,mlp_no_averaging,10,0.9992703392922291,0.9963503649635036
sgfn,mlp_no_averaging,20,0.9939961793868826,0.9452554744525548
sgfn,mlp_no_averaging,50,0.9857950427598202,0.7135036496350365
sgfn,mlp_no_averaging,100,0.9733880696447541,0.2718978102189781
