source,condition,k,recall,recall_ci_low,recall_ci_high,violation,violation_ci_low,violation_ci_high
vlsat,default,5,0.4206948640483384,0.38941786343478524,0.4536233466092452,0.00145985401459854,0.0003435694339556368,0.00290394324368916
vlsat,default,10,0.6339375629405841,0.5913446100917431,0.6775972730079366,0.0056569343065693434,0.0035148653960478055,0.008065481494683061
vlsat,default,20,0.8081570996978852,0.7608416543669584,0.8547045647378245,0.011405109489051095,0.009037681318337041,0.01398934390811647
vlsat,default,50,0.9277442094662638,0.8837499389463139,0.9633159100914404,0.019744525547445255,0.017306097987987178,0.022420477116610115
vlsat,default,100,0.9657603222557906,0.9298373983739837,0.9933704363573066,0.02948905109489051,0.026881531807612595,0.03200824427310481
vlsat,negative_cap_1,5,0.4206948640483384,0.38941786343478524,0.4536233466092452,0.00145985401459854,0.0003435694339556368,0.00290394324368916
vlsat,negative_cap_1,10,0.6339375629405841,0.5913446100917431,0.6775972730079366,0.0056569343065693434,0.0035148653960478055,0.008065481494683061
vlsat,negative_cap_1,20,0.8084088620342397,0.761204827448204,0.8547116069913456,0.011405109489051095,0.009037681318337041,0.01398934390811647
vlsat,negative_cap_1,50,0.9277442094662638,0.8837499389463139,0.9633159100914404,0.019744525547445255,0.017306097987987178,0.022420477116610115
vlsat,negative_cap_1,100,0.9657603222557906,0.9298373983739837,0.9933704363573066,0.02948905109489051,0.026881531807612595,0.03200824427310481
vlsat,negative_cap_4,5,0.4214501510574018,0.39053275525656705,0.4539036815112228,0.00145985401459854,0.0003435694339556368,0.00290394324368916
vlsat,negative_cap_4,10,0.6336858006042296,0.5908643922018348,0.677106948503381,0.0056569343065693434,0.0035148653960478055,0.008065481494683061
vlsat,negative_cap_4,20,0.8081570996978852,0.7608416543669584,0.8547045647378245,0.011405109489051095,0.009037681318337041,0.01398934390811647
vlsat,negative_cap_4,50,0.9277442094662638,0.8837499389463139,0.9633159100914404,0.019744525547445255,0.017306097987987178,0.022420477116610115
vlsat,negative_cap_4,100,0.9657603222557906,0.9298373983739837,0.9933704363573066,0.02948905109489051,0.026881531807612595,0.03200824427310481
vlsat,pair_weight_0.125,5,0.4206948640483384,0.38941786343478524,0.4536233466092452,0.00145985401459854,0.0003435694339556368,0.00290394324368916
vlsat,pair_weight_0.125,10,0.6339375629405841,0.5913446100917431,0.6775972730079366,0.0056569343065693434,0.0035148653960478055,0.008065481494683061
vlsat,pair_weight_0.125,20,0.8081570996978852,0.7608416543669584,0.8547045647378245,0.011405109489051095,0.009037681318337041,0.01398934390811647
vlsat,pair_weight_0.125,50,0.9277442094662638,0.8837499389463139,0.9633159100914404,0.019781021897810218,0.01734447500838645,0.0224557851466343
vlsat,pair_weight_0.125,100,0.9657603222557906,0.9298373983739837,0.9933704363573066,0.0295985401459854,0.026955437679376793,0.03213528564831165
vlsat,pair_weight_0.5,5,0.4206948640483384,0.38941786343478524,0.4536233466092452,0.00145985401459854,0.0003435694339556368,0.00290394324368916
vlsat,pair_weight_0.5,10,0.6339375629405841,0.5913446100917431,0.6775972730079366,0.0056569343065693434,0.0035148653960478055,0.008065481494683061
vlsat,pair_weight_0.5,20,0.8081570996978852,0.7608416543669584,0.8547045647378245,0.011405109489051095,0.009037681318337041,0.01398934390811647
vlsat,pair_weight_0.5,50,0.9277442094662638,0.8837499389463139,0.9633159100914404,0.01970802919708029,0.01724657047224294,0.02238497405994083
vlsat,pair_weight_0.5,100,0.9657603222557906,0.9298373983739837,0.9933704363573066,0.029416058394160585,0.02678053911940929,0.03190575043692264
vlsat,proximity_2.0,5,0.4219536757301108,0.3910011515326246,0.45489919158072806,0.00145985401459854,0.0003435694339556368,0.00290394324368916
