source,method,reference,k,delta_recall,delta_recall_ci95_low,delta_recall_ci95_high,delta_violation,delta_violation_ci95_low,delta_violation_ci95_high
vlsat,shared_nonlinear_bce_product,structured_product,5,0.0,-0.0026389780702615077,0.0025132416767505925,0.00036496350364963485,0.0,0.0010948905109489052
vlsat,shared_nonlinear_bce_product,structured_product,10,-0.0007552870090634656,-0.0030580323728693543,0.0015159842737505925,0.0,-0.0012773722627737226,0.0010948905109489054
vlsat,shared_nonlinear_bce_product,structured_product,20,-0.0002517623363544885,-0.002595803972586075,0.001821967725143095,-0.0010948905109489041,-0.002098540145985402,-9.124087591240969e-05
vlsat,shared_nonlinear_bce_product,structured_product,50,-0.0012588116817724426,-0.0027962252063605973,0.0,-0.0016058394160583939,-0.0024826642335766414,-0.0006195255474452544
vlsat,shared_nonlinear_bce_product,structured_product,100,0.0,-0.0026536758735599434,0.0019347806203620838,-0.0011131386861313874,-0.0023175182481751794,5.5656934306571316e-05
vlsat,shared_nonlinear_structured_product,structured_product,5,0.000503524672708977,-0.0024390392659720704,0.003213428917338859,0.00036496350364963485,0.0,0.0010948905109489052
vlsat,shared_nonlinear_structured_product,structured_product,10,-0.001007049345417954,-0.0034664843164146806,0.001472368523675235,-0.0005474452554744521,-0.0018248175182481747,0.0005474452554744521
vlsat,shared_nonlinear_structured_product,structured_product,20,-0.0007552870090634656,-0.003495717830841902,0.0018027108828947253,-0.0009124087591240865,-0.0017335766423357667,0.0
vlsat,shared_nonlinear_structured_product,structured_product,50,-0.0017623363544813087,-0.0036521511221557917,0.0,-0.0010583941605839427,-0.001970802919708029,-0.00014598540145985273
vlsat,shared_nonlinear_structured_product,structured_product,100,0.0,-0.0026536758735599434,0.0019347806203620838,-0.0007846715328467119,-0.001824817518248173,0.0003649635036496318
open3dsg,shared_nonlinear_bce_product,structured_product,5,-0.006797583081570996,-0.013678071584592095,0.0007675582614078861,0.01934306569343066,0.012043795620437954,0.027381386861313868
open3dsg,shared_nonlinear_bce_product,structured_product,10,0.002265861027190341,-0.005719217274943974,0.00995390644438914,0.020802919708029194,0.016058394160583946,0.025729927007299272
open3dsg,shared_nonlinear_bce_product,structured_product,20,0.010322255790533752,0.003566158946426931,0.01756760947193309,0.010690789473684216,0.007863791913183345,0.013624725676664229
open3dsg,shared_nonlinear_bce_product,structured_product,50,0.01737160120845921,0.007808242541277284,0.027152162926139263,0.0072581239407560234,0.005296912916934406,0.009330774135968162
open3dsg,shared_nonlinear_bce_product,structured_product,100,0.022406847935548813,0.014012522591279353,0.031281197083711285,0.009050456293838147,0.007128770839817064,0.010922084672329004
open3dsg,shared_nonlinear_structured_product,structured_product,5,-0.008308157099697885,-0.015976986808143433,-0.00024950007200836503,0.022992700729927006,0.015328467153284675,0.031751824817518245
open3dsg,shared_nonlinear_structured_product,structured_product,10,-0.0017623363544813642,-0.011065851417019766,0.006199826048374364,0.026824817518248167,0.02153284671532847,0.032846715328467155
open3dsg,shared_nonlinear_structured_product,structured_product,20,0.005538771399798581,-0.0019600406239028783,0.013234408875051165,0.015259502923976612,0.01205911915204678,0.018626734842951055
open3dsg,shared_nonlinear_structured_product,structured_product,50,0.022658610271903357,0.01282585757380205,0.033335260858391204,0.008805541227617713,0.006752500462682651,0.010856345315709141
open3dsg,shared_nonlinear_structured_product,structured_product,100,0.03625377643504535,0.025150783866823893,0.048231131265172,0.009465268873972393,0.007793520785400014,0.011219345902427284
sgfn,shared_nonlinear_bce_product,structured_product,5,0.0012588116817723871,-0.000770174936445929,0.003066759565302379,-0.0003649635036496353,-0.001824817518248173,0.0007299270072992706
sgfn,shared_nonlinear_bce_product,structured_product,10,0.0002517623363544885,-0.0018460837530680492,0.002293154737688302,0.0005474452554744477,-0.0005520072992700746,0.001824817518248173
sgfn,shared_nonlinear_bce_product,structured_product,20,-0.000503524672708977,-0.003877299137313525,0.0026126780844941957,-0.0009124087591240865,-0.0018248175182481764,9.124087591240795e-05
sgfn,shared_nonlinear_bce_product,structured_product,50,0.0050352467270895485,0.001441560734463271,0.008986626789436056,-0.0014963503649635043,-0.002445255474452554,-0.0005839416058394177
sgfn,shared_nonlinear_bce_product,structured_product,100,0.0007552870090634656,-0.0015688844312939237,0.003140066685553451,-0.0015145985401459894,-0.0027007299270072962,-0.00021852189781021756
sgfn,shared_nonlinear_structured_product,structured_product,5,0.0017623363544813642,-0.0005227905903660609,0.003975751769869424,-0.0014598540145985411,-0.0029197080291970823,-0.0003649635036496353
sgfn,shared_nonlinear_structured_product,structured_product,10,-0.0005035246727089215,-0.00326882467490424,0.0018479530651322323,-0.00018248175182482285,-0.0014598540145985411,0.0010948905109489093
sgfn,shared_nonlinear_structured_product,structured_product,20,-0.0007552870090634656,-0.004198749705119098,0.002508435863267566,-0.0008211678832116785,-0.0018248175182481764,0.00018248175182481938
sgfn,shared_nonlinear_structured_product,structured_product,50,0.005790533736153014,0.0017435088302053731,0.009845091237398578,-0.0009489051094890531,-0.001824817518248173,-3.649635036496318e-05
sgfn,shared_nonlinear_structured_product,structured_product,100,0.0007552870090634656,-0.0012777039028954718,0.0029638046959619413,-0.0008759124087591233,-0.002025547445255474,0.0003471715328467152
