source,method,k,recall,violation,uncertainty,selected
internal_dev,source_score,5,0.389010989010989,0.011299435028248588,0.2903954802259887,1770
internal_dev,source_score,10,0.5593406593406594,0.020903954802259886,0.2796610169491525,3540
internal_dev,source_score,20,0.764102564102564,0.021917420814479636,0.24194004524886878,7072
internal_dev,source_score,50,0.9432234432234432,0.03102706375268939,0.2421583059676141,17662
internal_dev,source_score,100,0.9882783882783883,0.05743090167648392,0.2790269596737653,35312
internal_dev,structured_product,5,0.3901098901098901,0.011299435028248588,0.2853107344632768,1770
internal_dev,structured_product,10,0.567032967032967,0.016666666666666666,0.26864406779661015,3540
internal_dev,structured_product,20,0.7732600732600733,0.01583710407239819,0.23543552036199095,7072
internal_dev,structured_product,50,0.9461538461538461,0.01817461216170309,0.23292945306307328,17662
internal_dev,structured_product,100,0.9901098901098901,0.03149071137290439,0.2695117806977798,35312
internal_dev,support_passthrough_product,5,0.38974358974358975,0.010169491525423728,0.28926553672316385,1770
internal_dev,support_passthrough_product,10,0.5611721611721612,0.01751412429378531,0.2790960451977401,3540
internal_dev,support_passthrough_product,20,0.7684981684981685,0.01626131221719457,0.24349547511312217,7072
internal_dev,support_passthrough_product,50,0.9476190476190476,0.017665043596421695,0.24532895481825387,17662
internal_dev,support_passthrough_product,100,0.989010989010989,0.029225192569098325,0.29225192569098324,35312
internal_dev,family_slot_rerank,5,0.389010989010989,0.010734463276836158,0.28983050847457625,1770
internal_dev,family_slot_rerank,10,0.5604395604395604,0.017231638418079096,0.2790960451977401,3540
internal_dev,family_slot_rerank,20,0.7681318681318682,0.01668552036199095,0.2409502262443439,7072
internal_dev,family_slot_rerank,50,0.9461538461538461,0.018457705809081643,0.2384780885516929,17662
internal_dev,family_slot_rerank,100,0.989010989010989,0.03149071137290439,0.2789420027186226,35312
vlsat,source_score,5,0.41943605236656595,0.00291970802919708,0.14051094890510948,2740
vlsat,source_score,10,0.6321752265861027,0.008211678832116789,0.14343065693430657,5480
vlsat,source_score,20,0.8074018126888217,0.014233576642335766,0.18868613138686133,10960
vlsat,source_score,50,0.9272406847935549,0.026751824817518248,0.274014598540146,27400
vlsat,source_score,100,0.9634944612286002,0.04764598540145985,0.3464051094890511,54800
vlsat,structured_product,5,0.4174219536757301,0.0010948905109489052,0.12700729927007298,2740
vlsat,structured_product,10,0.6331822759315207,0.004927007299270073,0.13412408759124086,5480
vlsat,structured_product,20,0.8094159113796576,0.01104014598540146,0.1749087591240876,10960
vlsat,structured_product,50,0.9292547834843907,0.02029197080291971,0.2510948905109489,27400
vlsat,structured_product,100,0.9687814702920443,0.032481751824817516,0.31306569343065693,54800
vlsat,support_passthrough_product,5,0.4206948640483384,0.00145985401459854,0.14087591240875913,2740
vlsat,support_passthrough_product,10,0.6341893252769386,0.0056569343065693434,0.14306569343065692,5480
vlsat,support_passthrough_product,20,0.8091641490433031,0.011222627737226277,0.19041970802919708,10960
vlsat,support_passthrough_product,50,0.9290030211480362,0.01981751824817518,0.28182481751824817,27400
vlsat,support_passthrough_product,100,0.9657603222557906,0.02863138686131387,0.3635036496350365,54800
vlsat,family_slot_rerank,5,0.4206948640483384,0.00145985401459854,0.14014598540145987,2740
vlsat,family_slot_rerank,10,0.6339375629405841,0.0056569343065693434,0.14324817518248176,5480
vlsat,family_slot_rerank,20,0.8081570996978852,0.011405109489051095,0.18868613138686133,10960
vlsat,family_slot_rerank,50,0.9277442094662638,0.019744525547445255,0.27521897810218976,27400
vlsat,family_slot_rerank,100,0.9657603222557906,0.02948905109489051,0.3472992700729927,54800
open3dsg,source_score,5,0.03675730110775428,0.5131386861313869,0.2824817518248175,2740
open3dsg,source_score,10,0.10020140986908359,0.32554744525547447,0.3025547445255474,5480
open3dsg,source_score,20,0.19914400805639476,0.20879020467836257,0.30838815789473684,10944
open3dsg,source_score,50,0.4096173212487412,0.1386412202490605,0.38902807457077593,27142
open3dsg,source_score,100,0.5161127895266868,0.12419865751564975,0.4163964099856701,53036
open3dsg,structured_product,5,0.10120845921450151,0.040145985401459854,0.2062043795620438,2740
open3dsg,structured_product,10,0.19838872104733132,0.04525547445255475,0.2031021897810219,5480
open3dsg,structured_product,20,0.3320745216515609,0.04358552631578947,0.22185672514619884,10944
open3dsg,structured_product,50,0.4685297079556898,0.029032495763024097,0.2332547343600324,27142
open3dsg,structured_product,100,0.6052366565961732,0.033958066219171884,0.27238102420997057,53036
open3dsg,support_passthrough_product,5,0.09592145015105741,0.04854014598540146,0.3613138686131387,2740
open3dsg,support_passthrough_product,10,0.1714501510574018,0.05474452554744526,0.3655109489051095,5480
open3dsg,support_passthrough_product,20,0.29607250755287007,0.061769005847953216,0.4121893274853801,10944
open3dsg,support_passthrough_product,50,0.44108761329305135,0.04200132635767445,0.46813057254439616,27142
open3dsg,support_passthrough_product,100,0.5490936555891238,0.032845614299720945,0.46668300776830834,53036
open3dsg,family_slot_rerank,5,0.039778449144008056,0.01167883211678832,0.1989051094890511,2740
open3dsg,family_slot_rerank,10,0.1163141993957704,0.024635036496350366,0.25291970802919705,5480
open3dsg,family_slot_rerank,20,0.2366565961732125,0.03252923976608187,0.27266081871345027,10944
open3dsg,family_slot_rerank,50,0.4471299093655589,0.036143246628840914,0.3658905018053202,27142
open3dsg,family_slot_rerank,100,0.5735146022155085,0.033203861528018706,0.4086846670186289,53036
sgfn,source_score,5,0.3116817724068479,0.023722627737226276,0.28978102189781024,2740
sgfn,source_score,10,0.39753272910372606,0.034854014598540144,0.34635036496350363,5480
sgfn,source_score,20,0.4911883182275932,0.03220802919708029,0.3781934306569343,10960
sgfn,source_score,50,0.7401812688821753,0.03846715328467153,0.36554744525547445,27400
sgfn,source_score,100,0.9234642497482377,0.06297445255474453,0.37324817518248177,54800
sgfn,structured_product,5,0.31067472306143,0.024817518248175182,0.2857664233576642,2740
sgfn,structured_product,10,0.40558912386706947,0.03193430656934307,0.32956204379562043,5480
sgfn,structured_product,20,0.5118328298086606,0.027554744525547445,0.34352189781021897,10960
sgfn,structured_product,50,0.770392749244713,0.0258029197080292,0.32905109489051093,27400
sgfn,structured_product,100,0.9413393756294058,0.03713503649635037,0.3399087591240876,54800
sgfn,support_passthrough_product,5,0.3116817724068479,0.023722627737226276,0.28941605839416057,2740
sgfn,support_passthrough_product,10,0.39753272910372606,0.03467153284671533,0.3456204379562044,5480
sgfn,support_passthrough_product,20,0.4914400805639476,0.029653284671532845,0.3771897810218978,10960
sgfn,support_passthrough_product,50,0.7444612286002014,0.026094890510948904,0.3691970802919708,27400
sgfn,support_passthrough_product,100,0.9287512588116817,0.032226277372262774,0.3912043795620438,54800
sgfn,family_slot_rerank,5,0.3116817724068479,0.023722627737226276,0.28978102189781024,2740
sgfn,family_slot_rerank,10,0.39753272910372606,0.03467153284671533,0.3458029197080292,5480
sgfn,family_slot_rerank,20,0.4914400805639476,0.029744525547445257,0.37737226277372266,10960
sgfn,family_slot_rerank,50,0.7449647532729103,0.026313868613138686,0.3664598540145985,27400
sgfn,family_slot_rerank,100,0.9302618328298087,0.03501824817518248,0.3803102189781022,54800
