source,method,k,recall,recall_scan_ci95_low,recall_scan_ci95_high,violation,violation_scan_ci95_low,violation_scan_ci95_high,selected
vlsat,source_score,50,0.9272406847935549,0.8847037291675166,0.9637493769110849,0.026751824817518248,0.023639152610174012,0.03002090519837489,27400
vlsat,source_score,100,0.9634944612286002,0.9279701585074008,0.9925995850285225,0.04764598540145985,0.04429499631594686,0.05125286453912748,54800
vlsat,structured_product,50,0.9277442094662638,0.8852746892819605,0.9637450789475533,0.019744525547445255,0.017088305953283874,0.022293279304819426,27400
vlsat,structured_product,100,0.9657603222557906,0.9314033763528935,0.9931298303784362,0.02948905109489051,0.027020418495610533,0.03219223992455827,54800
vlsat,wrong_predicate_product,50,0.9045820745216515,0.86279756920897,0.9443479174907615,0.049744525547445254,0.044580089569730454,0.05508883927336119,27400
vlsat,wrong_predicate_product,100,0.9478851963746223,0.9140338668804976,0.9782577688591492,0.07952554744525547,0.07407596153846155,0.08527400136950941,54800
vlsat,wrong_pair_product,50,0.9055891238670695,0.8652398729874425,0.9417831439323988,0.026094890510948904,0.023178762525537504,0.02896962379348089,27400
vlsat,wrong_pair_product,100,0.9496475327291037,0.9173931232465549,0.9768410240521396,0.04728102189781022,0.04405607467345275,0.0506857296871214,54800
vlsat,shuffled_geometry_product,50,0.891742195367573,0.8507290938421957,0.9278396893965495,0.030547445255474454,0.027219474838905525,0.03406201550387597,27400
vlsat,shuffled_geometry_product,100,0.9410876132930514,0.9067478809669336,0.9693987255049924,0.05598540145985401,0.05236114493884986,0.06022731922332986,54800
vlsat,endpoint_swap_fixed_label_product,50,0.9045820745216515,0.86279756920897,0.9443479174907615,0.049744525547445254,0.044580089569730454,0.05508883927336119,27400
vlsat,endpoint_swap_fixed_label_product,100,0.9481369587109768,0.9145418531859363,0.9782577688591492,0.079507299270073,0.07401923076923077,0.08525571823957093,54800
vlsat,distance_only,50,0.8189828801611279,0.7855213033557963,0.8508769979584723,0.053394160583941606,0.04859246825614323,0.05828524705221785,27400
vlsat,distance_only,100,0.898036253776435,0.872654852672858,0.9209353157085064,0.08093065693430657,0.07611375402440479,0.08576756172839507,54800
vlsat,compatibility_only,50,0.6764853977844915,0.6537295619895588,0.7020679759163267,0.016058394160583942,0.013985134271099743,0.018141051641684152,27400
vlsat,compatibility_only,100,0.8388721047331319,0.8188786411636735,0.8606374041250158,0.02031021897810219,0.018703959788022837,0.02196149588770967,54800
open3dsg,source_score,50,0.4043303121852971,0.37264800183251334,0.4384332368747416,0.13872203033488512,0.131520268374617,0.14596908228143265,26636
open3dsg,source_score,100,0.5110775427995972,0.4808416923172253,0.5432994685752304,0.12415160527720583,0.11941436088293406,0.1286581365893132,52452
open3dsg,structured_product,50,0.4418429003021148,0.4124415577071901,0.4720340739085452,0.03423937528157381,0.03122215622215622,0.037491188490299525,26636
open3dsg,structured_product,100,0.5684793554884189,0.5403434350981704,0.5984939432755825,0.03239151986578205,0.02962503994681964,0.0352284783709955,52452
open3dsg,wrong_predicate_product,50,0.42648539778449146,0.3959968362790008,0.4587809139596779,0.21981528758071783,0.21083328368160842,0.228471631655277,26636
open3dsg,wrong_predicate_product,100,0.5347432024169184,0.5015167792890424,0.5685466271585342,0.209601159155037,0.20248895203114978,0.216681705642696,52452
open3dsg,wrong_pair_product,50,0.3851963746223565,0.35864950863141887,0.41309037887372213,0.08496020423487011,0.08004435942479733,0.08974519837488244,26636
open3dsg,wrong_pair_product,100,0.493202416918429,0.4700507203424785,0.5189110740307166,0.0835621139327385,0.07981477395850992,0.08708062215807529,52452
open3dsg,shuffled_geometry_product,50,0.38418932527693855,0.35549837937719614,0.4138660428650067,0.12929869349752215,0.12286751859131483,0.13569828068648176,26636
open3dsg,shuffled_geometry_product,100,0.4879154078549849,0.46014466269511356,0.5188861194331116,0.12418973537710669,0.11923444576589617,0.1289949079368664,52452
open3dsg,endpoint_swap_fixed_label_product,50,0.42673716012084595,0.396370297214084,0.4582100163887014,0.21981528758071783,0.21083328368160842,0.228471631655277,26636
open3dsg,endpoint_swap_fixed_label_product,100,0.5362537764350453,0.5031100803181978,0.5700151932345893,0.209601159155037,0.20248895203114978,0.216681705642696,52452
open3dsg,distance_only,50,0.5115810674723061,0.4763347816399287,0.5479066168092609,0.08236972518396156,0.0770956783544118,0.0874864339715653,26636
open3dsg,distance_only,100,0.6321752265861027,0.6005675119448983,0.6680801194134959,0.09553496530160908,0.0913762360794224,0.09993133577822674,52452
open3dsg,compatibility_only,50,0.42220543806646527,0.39417766335301113,0.45047716351111594,0.03423937528157381,0.03122215622215622,0.037491188490299525,26636
open3dsg,compatibility_only,100,0.5687311178247734,0.5420309834933029,0.5969676846495808,0.03241058491573248,0.02963302154327929,0.03522943651908687,52452
sgfn,source_score,50,0.7401812688821753,0.7037006685539878,0.7730803413143434,0.03846715328467153,0.03496353400550935,0.04224772628135223,27400
sgfn,source_score,100,0.9234642497482377,0.8901156787811928,0.9518074721497024,0.06297445255474453,0.05929541949742745,0.06727149725274725,54800
sgfn,structured_product,50,0.7449647532729103,0.7085377830198571,0.7784243179853569,0.026313868613138686,0.023877527796753298,0.029111844956289688,27400
sgfn,structured_product,100,0.9302618328298087,0.8971812196691454,0.9591371111882477,0.03501824817518248,0.03230485188735223,0.03791144994969819,54800
sgfn,wrong_predicate_product,50,0.7157603222557906,0.678609923498763,0.750470910613749,0.09416058394160584,0.08773255184008967,0.10095840707964601,27400
sgfn,wrong_predicate_product,100,0.8992950654582075,0.8640850655637367,0.9297937471097233,0.12985401459854015,0.12203437846163058,0.13796253789764243,54800
sgfn,wrong_pair_product,50,0.7155085599194361,0.6797287149564977,0.7461634301002439,0.03989051094890511,0.03661339454804058,0.0433525,27400
sgfn,wrong_pair_product,100,0.8806646525679759,0.8510517049809913,0.9068261631053598,0.06647810218978102,0.06295625067191948,0.07052066104961077,54800
sgfn,shuffled_geometry_product,50,0.7059415911379657,0.6700284868201535,0.7374937582195198,0.04733576642335766,0.04370456693468754,0.05133710901619531,27400
sgfn,shuffled_geometry_product,100,0.8683282980866063,0.8375362231259912,0.8961437732702674,0.08364963503649635,0.07947063981779352,0.0884404902357851,54800
sgfn,endpoint_swap_fixed_label_product,50,0.7157603222557906,0.678609923498763,0.750470910613749,0.09416058394160584,0.08773255184008967,0.10095840707964601,27400
sgfn,endpoint_swap_fixed_label_product,100,0.9003021148036254,0.864951747197938,0.9312698058446498,0.12983576642335767,0.12203394518606732,0.13796207407575004,54800
sgfn,distance_only,50,0.6319234642497482,0.5959449933892221,0.6677624544537628,0.10003649635036496,0.09482884885758412,0.10516905168167745,27400
sgfn,distance_only,100,0.8406344410876133,0.8089750254526139,0.8694133747671918,0.1266058394160584,0.12104662619988707,0.13168716342910716,54800
sgfn,compatibility_only,50,0.5279456193353474,0.49899412976949226,0.557506368377085,0.02324817518248175,0.020891388533190138,0.025736544968132817,27400
sgfn,compatibility_only,100,0.7064451158106747,0.6840874909412085,0.7308468555437044,0.022974452554744524,0.021077418959602325,0.025120604920485207,54800
