source,method,k,recall,recall_ci_low,recall_ci_high,violation,violation_ci_low,violation_ci_high
vlsat,source_score,5,0.41943605236656595,0.3887887333966053,0.45329434886554576,0.00291970802919708,0.0010506507929727786,0.005167011893167258
vlsat,source_score,10,0.6321752265861027,0.589104838943864,0.674231041140661,0.008211678832116789,0.005251821349382325,0.011546147216119029
vlsat,source_score,20,0.8074018126888217,0.7607811917400175,0.8512865879985662,0.014233576642335766,0.011599724269416457,0.017178651957587162
vlsat,source_score,50,0.9272406847935549,0.8847037291675166,0.9637493769110849,0.026751824817518248,0.023639152610174012,0.03002090519837489
vlsat,source_score,100,0.9634944612286002,0.9279701585074008,0.9925995850285225,0.04764598540145985,0.04429499631594686,0.05125286453912748
vlsat,routed_product,5,0.4206948640483384,0.3902954112343658,0.4540503061309177,0.00145985401459854,0.00034288020525534397,0.002979934300002092
vlsat,routed_product,10,0.6339375629405841,0.5910914051406139,0.6761507693643111,0.0056569343065693434,0.0036231884057971015,0.00788080327714474
vlsat,routed_product,20,0.8081570996978852,0.7617445092351143,0.8526938831143083,0.011405109489051095,0.008812190526684529,0.013851000838874382
vlsat,routed_product,50,0.9277442094662638,0.8852746892819605,0.9637450789475533,0.019744525547445255,0.017088305953283874,0.022293279304819426
vlsat,routed_product,100,0.9657603222557906,0.9314033763528935,0.9931298303784362,0.02948905109489051,0.027020418495610533,0.03219223992455827
vlsat,routed_rank_average,5,0.35322255790533735,0.32575262671276245,0.38284337184590744,0.00145985401459854,0.00034288020525534397,0.002979934300002092
vlsat,routed_rank_average,10,0.5173716012084593,0.48199497159700894,0.552795794100142,0.004744525547445255,0.0029249436162259623,0.006762338011146176
vlsat,routed_rank_average,20,0.6941087613293051,0.6555860543428669,0.7330871265646632,0.009945255474452555,0.007805968608013218,0.012154759259446302
vlsat,routed_rank_average,50,0.9023162134944612,0.8657167054060199,0.9348450771699477,0.016240875912408758,0.01413411249825096,0.018286914441393787
vlsat,routed_rank_average,100,0.9705438066465257,0.9426256076972014,0.9930693459160664,0.022554744525547444,0.02063330665484755,0.024533782169431362
vlsat,routed_rrf,5,0.3680765357502518,0.3416243081250319,0.39625429726493555,0.00145985401459854,0.00034288020525534397,0.002979934300002092
vlsat,routed_rrf,10,0.5566465256797583,0.5206924074691068,0.5910519853658951,0.0051094890510948905,0.0031652958824746535,0.0073506968119894794
vlsat,routed_rrf,20,0.7507552870090635,0.7110068517019581,0.7890363505967509,0.010675182481751824,0.00840909016714547,0.012912163943068001
vlsat,routed_rrf,50,0.9171701913393756,0.876522781565082,0.951634649016202,0.018175182481751824,0.01577180288709179,0.020474094312892127
vlsat,routed_rrf,100,0.9705438066465257,0.9442701309647302,0.9914690994391392,0.024963503649635038,0.022684198671308702,0.027337053207946587
vlsat,routed_matched_mlp,5,0.4209466263846928,0.39052150652552886,0.4544193308731033,0.00145985401459854,0.00034288020525534397,0.002979934300002092
vlsat,routed_matched_mlp,10,0.6346928499496476,0.5928309918541644,0.6766961271727102,0.0051094890510948905,0.003290526294719705,0.00719760101010101
vlsat,routed_matched_mlp,20,0.8091641490433031,0.7626645932964021,0.8526971120288506,0.010948905109489052,0.008659127853740341,0.013192570482359499
vlsat,routed_matched_mlp,50,0.9272406847935549,0.8849566041991868,0.9633817702637288,0.01886861313868613,0.016415204009245062,0.021364537046562486
vlsat,routed_matched_mlp,100,0.9650050352467271,0.930881169885776,0.9922603609897551,0.029635036496350364,0.027057560908639682,0.032330452718802236
open3dsg,source_score,5,0.03423967774420947,0.027556531377899044,0.04128028000315078,0.5204502814258912,0.48726423255716994,0.5535260184682238
open3dsg,source_score,10,0.0986908358509567,0.08709952861859593,0.1112370904536526,0.32889305816135084,0.30864015517298793,0.34881774737440835
open3dsg,source_score,20,0.19889224572004027,0.17940529295525967,0.22000201703272076,0.2099437148217636,0.19852719518160694,0.2209341088247338
open3dsg,source_score,50,0.4043303121852971,0.37264800183251334,0.4384332368747416,0.13872203033488512,0.131520268374617,0.14596908228143265
open3dsg,source_score,100,0.5110775427995972,0.4808416923172253,0.5432994685752304,0.12415160527720583,0.11941436088293406,0.1286581365893132
open3dsg,routed_product,5,0.03726082578046324,0.02992496096433586,0.04476715757260318,0.009380863039399626,0.005466906009152216,0.013873103493151427
open3dsg,routed_product,10,0.11379657603222558,0.10086123235213314,0.1273058854119399,0.02326454033771107,0.018044435412856465,0.029662397240715968
open3dsg,routed_product,20,0.23615307150050352,0.2129708310036383,0.2600149136577708,0.031332082551594746,0.026589438824662814,0.036827575051759834
open3dsg,routed_product,50,0.4418429003021148,0.4124415577071901,0.4720340739085452,0.03423937528157381,0.03122215622215622,0.037491188490299525
open3dsg,routed_product,100,0.5684793554884189,0.5403434350981704,0.5984939432755825,0.03239151986578205,0.02962503994681964,0.0352284783709955
open3dsg,routed_rank_average,5,0.0377643504531722,0.030410527630273288,0.045193866486812145,0.01125703564727955,0.00692304189435337,0.01635090070435704
open3dsg,routed_rank_average,10,0.11052366565961733,0.09794493136143904,0.12293124764300405,0.025140712945590993,0.019479754037710816,0.0320464557964558
open3dsg,routed_rank_average,20,0.22356495468277945,0.2027758404733286,0.24502938340357602,0.035459662288930584,0.03042489469359352,0.04150863636033127
