source,prediction_id,family,predicate,point_monotone,mesh_monotone,compatibility_monotone,point_endpoint_change,mesh_endpoint_change,compatibility_endpoint_change
vlsat,vlsat_closed_set:full_official_validation:38770ca1-86d7-27b8-8619-ab66f67d9adf:1:71:43:close by,proximity,close by,True,True,True,1.9518669020883417,1.8958417977023199,-0.42621150040434386
sgfn,sgfn_official_full_l160:official_test:c7895f2b-339c-2d13-8248-b0507e050314:3:19:33:close by,proximity,close by,True,True,True,1.9832439603981666,1.8997937136389265,-0.7116294506973826
open3dsg,open3dsg_ov:full_official_validation:38770ca3-86d7-27b8-85a7-7d840ffdec6a_1:58:61:close by,proximity,close by,True,True,True,1.9472430384223323,1.9763344834198118,-0.44231598409832334
vlsat,vlsat_closed_set:full_official_validation:bcb0fe06-4f39-2c70-9c24-a8dd7496c2f8:1:29:38:close by,proximity,close by,True,True,True,1.6832087833981135,1.6722639280241367,-0.4426354879594381
open3dsg,open3dsg_ov:full_official_validation:7747a510-9431-24e8-8705-907ee78be2a2_2:21:23:close by,proximity,close by,False,False,True,0.05798732503231363,-0.40485093177601017,-0.27243395688076166
open3dsg,open3dsg_ov:full_official_validation:38770ca1-86d7-27b8-8619-ab66f67d9adf_6:5:32:close by,proximity,close by,True,True,True,1.8231048701457455,1.8879353302991122,-0.599121249696079
open3dsg,open3dsg_ov:full_official_validation:38770ca3-86d7-27b8-85a7-7d840ffdec6a_8:7:16:close by,proximity,close by,True,True,True,1.8818022840297526,1.865555927852171,-0.9655829392963836
open3dsg,open3dsg_ov:full_official_validation:0cac75de-8d6f-2d13-8e1a-b574569c3885_5:11:32:close by,proximity,close by,True,True,True,1.8997999623671686,1.8670324340902642,-0.5864126098334557
open3dsg,open3dsg_ov:full_official_validation:d7dc987e-a34a-2794-85c8-f75389b27532_1:2:7:close by,proximity,close by,True,True,True,1.7099017430543713,1.58007064396177,-0.5245402797905289
vlsat,vlsat_closed_set:full_official_validation:10b17957-3938-2467-88a5-9e9254930dad:6:1:7:close by,proximity,close by,True,True,True,1.7472799490429725,1.7971245770913105,-0.9794464145209687
open3dsg,open3dsg_ov:full_official_validation:ab835faa-54c6-29a1-9b55-1a5217fcba19_3:19:15:close by,proximity,close by,True,True,True,1.8894856245460372,1.7929161432045808,-0.5579563430457259
open3dsg,open3dsg_ov:full_official_validation:e61b0e04-bada-2f31-82d6-72831a602ba7_6:1:39:close by,proximity,close by,True,True,True,1.6776758363331676,1.6193942353703625,-0.9739835627414313
sgfn,sgfn_official_full_l160:official_test:ddc73797-765b-241a-9e2c-097c5989baf6:4:53:100:close by,proximity,close by,True,True,True,1.7451597452370367,1.68543039509307,-0.18462924563979755
open3dsg,open3dsg_ov:full_official_validation:20c993b7-698f-29c5-847d-c8cb8a685f5a_1:7:1:close by,proximity,close by,True,True,True,1.8453321408367516,1.8169568631220927,-0.99775424998509
