source,family,method,k,selected,recall,recall_numerator,recall_denominator,violation,violation_numerator,violation_denominator
vlsat,support_contact,source,5,1517,0.5699339207048458,1035,1816,0.0026367831245880024,4,1517
vlsat,support_contact,source,10,2465,0.7285242290748899,1323,1816,0.010547667342799188,26,2465
vlsat,support_contact,source,20,4462,0.8397577092511013,1525,1816,0.02442850739578664,109,4462
vlsat,support_contact,source,50,11115,0.9306167400881057,1690,1816,0.03958614484930274,440,11115
vlsat,support_contact,source,100,24021,0.973568281938326,1768,1816,0.04350360101577786,1045,24021
vlsat,support_contact,identity_family_slots,5,1517,0.5699339207048458,1035,1816,0.0026367831245880024,4,1517
vlsat,support_contact,identity_family_slots,10,2465,0.7285242290748899,1323,1816,0.010547667342799188,26,2465
vlsat,support_contact,identity_family_slots,20,4462,0.8397577092511013,1525,1816,0.02442850739578664,109,4462
vlsat,support_contact,identity_family_slots,50,11115,0.9306167400881057,1690,1816,0.03958614484930274,440,11115
vlsat,support_contact,identity_family_slots,100,24021,0.973568281938326,1768,1816,0.04350360101577786,1045,24021
vlsat,support_contact,linear_family_slots,5,1517,0.5699339207048458,1035,1816,0.0026367831245880024,4,1517
vlsat,support_contact,linear_family_slots,10,2465,0.7285242290748899,1323,1816,0.010547667342799188,26,2465
vlsat,support_contact,linear_family_slots,20,4462,0.8397577092511013,1525,1816,0.02442850739578664,109,4462
vlsat,support_contact,linear_family_slots,50,11115,0.9306167400881057,1690,1816,0.03958614484930274,440,11115
vlsat,support_contact,linear_family_slots,100,24021,0.973568281938326,1768,1816,0.04350360101577786,1045,24021
vlsat,support_contact,linear_pv_global,5,1517,0.5699339207048458,1035,1816,0.0026367831245880024,4,1517
vlsat,support_contact,linear_pv_global,10,2465,0.7285242290748899,1323,1816,0.010547667342799188,26,2465
vlsat,support_contact,linear_pv_global,20,4462,0.8397577092511013,1525,1816,0.02442850739578664,109,4462
vlsat,support_contact,linear_pv_global,50,11115,0.9306167400881057,1690,1816,0.03958614484930274,440,11115
vlsat,support_contact,linear_pv_global,100,24021,0.973568281938326,1768,1816,0.04350360101577786,1045,24021
vlsat,support_contact,linear_support_order_only,5,1533,0.5737885462555066,1042,1816,0.002609262883235486,4,1533
vlsat,support_contact,linear_support_order_only,10,2488,0.7296255506607929,1325,1816,0.010852090032154342,27,2488
vlsat,support_contact,linear_support_order_only,20,4524,0.8419603524229075,1529,1816,0.02453580901856764,111,4524
vlsat,support_contact,linear_support_order_only,50,11469,0.9344713656387665,1697,1816,0.039933734414508676,458,11469
vlsat,support_contact,linear_support_order_only,100,25522,0.9763215859030837,1773,1816,0.04357025311495964,1112,25522
vlsat,support_contact,linear_all_families,5,1400,0.5352422907488987,972,1816,0.002142857142857143,3,1400
vlsat,support_contact,linear_all_families,10,2352,0.7153083700440529,1299,1816,0.00977891156462585,23,2352
vlsat,support_contact,linear_all_families,20,4207,0.8331497797356828,1513,1816,0.02590919895412408,109,4207
vlsat,support_contact,linear_all_families,50,10188,0.9322687224669604,1693,1816,0.04436592069100903,452,10188
vlsat,support_contact,linear_all_families,100,21692,0.9763215859030837,1773,1816,0.051078738705513556,1108,21692
vlsat,support_contact,mlp_family_slots,5,1517,0.5699339207048458,1035,1816,0.0026367831245880024,4,1517
vlsat,support_contact,mlp_family_slots,10,2465,0.7285242290748899,1323,1816,0.010547667342799188,26,2465
vlsat,support_contact,mlp_family_slots,20,4462,0.8397577092511013,1525,1816,0.02442850739578664,109,4462
vlsat,support_contact,mlp_family_slots,50,11115,0.9306167400881057,1690,1816,0.03958614484930274,440,11115
vlsat,support_contact,mlp_family_slots,100,24021,0.973568281938326,1768,1816,0.04350360101577786,1045,24021
vlsat,support_contact,mlp_pv_global,5,1517,0.5699339207048458,1035,1816,0.0026367831245880024,4,1517
vlsat,support_contact,mlp_pv_global,10,2465,0.7285242290748899,1323,1816,0.010547667342799188,26,2465
vlsat,support_contact,mlp_pv_global,20,4462,0.8397577092511013,1525,1816,0.02442850739578664,109,4462
vlsat,support_contact,mlp_pv_global,50,11115,0.9306167400881057,1690,1816,0.03958614484930274,440,11115
vlsat,support_contact,mlp_pv_global,100,24021,0.973568281938326,1768,1816,0.04350360101577786,1045,24021
vlsat,support_contact,mlp_support_order_only,5,1544,0.5770925110132159,1048,1816,0.0025906735751295338,4,1544
vlsat,support_contact,mlp_support_order_only,10,2512,0.7312775330396476,1328,1816,0.011146496815286623,28,2512
vlsat,support_contact,mlp_support_order_only,20,4571,0.8425110132158591,1530,1816,0.02450229709035222,112,4571
vlsat,support_contact,mlp_support_order_only,50,11601,0.9355726872246696,1699,1816,0.03965175415912421,460,11601
vlsat,support_contact,mlp_support_order_only,100,25739,0.9763215859030837,1773,1816,0.04397995260111116,1132,25739
vlsat,support_contact,mlp_all_families,5,1417,0.5379955947136564,977,1816,0.0028228652081863093,4,1417
vlsat,support_contact,mlp_all_families,10,2363,0.7153083700440529,1299,1816,0.010156580617858655,24,2363
vlsat,support_contact,mlp_all_families,20,4249,0.8303964757709251,1508,1816,0.024476347375853143,104,4249
vlsat,support_contact,mlp_all_families,50,10240,0.9289647577092511,1687,1816,0.04267578125,437,10240
vlsat,support_contact,mlp_all_families,100,21677,0.9779735682819384,1776,1816,0.04931494210453476,1069,21677
vlsat,proximity,source,5,1064,0.32559456398640996,575,1766,0.0,0,1064
vlsat,proximity,source,10,2519,0.6160815402038505,1088,1766,0.0,0,2519
vlsat,proximity,source,20,4906,0.8312570781426953,1468,1766,0.0,0,4906
vlsat,proximity,source,50,10133,0.927519818799547,1638,1766,0.0012829369387150893,13,10133
vlsat,proximity,source,100,16513,0.950736126840317,1679,1766,0.008417610367589172,139,16513
vlsat,proximity,identity_family_slots,5,1064,0.32559456398640996,575,1766,0.0,0,1064
vlsat,proximity,identity_family_slots,10,2519,0.6160815402038505,1088,1766,0.0,0,2519
vlsat,proximity,identity_family_slots,20,4906,0.8312570781426953,1468,1766,0.0,0,4906
vlsat,proximity,identity_family_slots,50,10133,0.927519818799547,1638,1766,0.0012829369387150893,13,10133
vlsat,proximity,identity_family_slots,100,16513,0.950736126840317,1679,1766,0.008417610367589172,139,16513
vlsat,proximity,linear_family_slots,5,1064,0.3278595696489241,579,1766,0.0,0,1064
vlsat,proximity,linear_family_slots,10,2519,0.6177802944507361,1091,1766,0.0,0,2519
vlsat,proximity,linear_family_slots,20,4906,0.8323895809739524,1470,1766,0.0,0,4906
vlsat,proximity,linear_family_slots,50,10133,0.9292185730464326,1641,1766,0.0001973749136484753,2,10133
vlsat,proximity,linear_family_slots,100,16513,0.9546998867497168,1686,1766,0.0007872585235874765,13,16513
vlsat,proximity,linear_pv_global,5,1065,0.32842582106455265,580,1766,0.0,0,1065
vlsat,proximity,linear_pv_global,10,2526,0.6194790486976217,1094,1766,0.0,0,2526
vlsat,proximity,linear_pv_global,20,4899,0.8323895809739524,1470,1766,0.0,0,4899
vlsat,proximity,linear_pv_global,50,10029,0.9280860702151755,1639,1766,0.0,0,10029
vlsat,proximity,linear_pv_global,100,16096,0.9552661381653454,1687,1766,0.0003727634194831014,6,16096
vlsat,proximity,linear_support_order_only,5,1051,0.3250283125707814,574,1766,0.0,0,1051
vlsat,proximity,linear_support_order_only,10,2510,0.6189127972819932,1093,1766,0.0,0,2510
vlsat,proximity,linear_support_order_only,20,4863,0.8323895809739524,1470,1766,0.0,0,4863
vlsat,proximity,linear_support_order_only,50,9831,0.9280860702151755,1639,1766,0.0,0,9831
vlsat,proximity,linear_support_order_only,100,15476,0.9530011325028312,1683,1766,0.0003230808994572241,5,15476
vlsat,proximity,linear_all_families,5,1166,0.3556058890147225,628,1766,0.0,0,1166
vlsat,proximity,linear_all_families,10,2618,0.630237825594564,1113,1766,0.0,0,2618
vlsat,proximity,linear_all_families,20,5066,0.840317100792752,1484,1766,0.0,0,5066
vlsat,proximity,linear_all_families,50,10483,0.9303510758776897,1643,1766,0.0,0,10483
vlsat,proximity,linear_all_families,100,17104,0.9586636466591166,1693,1766,0.0006431244153414406,11,17104
vlsat,proximity,mlp_family_slots,5,1064,0.32842582106455265,580,1766,0.0,0,1064
vlsat,proximity,mlp_family_slots,10,2519,0.6194790486976217,1094,1766,0.0,0,2519
vlsat,proximity,mlp_family_slots,20,4906,0.8329558323895809,1471,1766,0.0,0,4906
vlsat,proximity,mlp_family_slots,50,10133,0.9280860702151755,1639,1766,9.868745682423764e-05,1,10133
vlsat,proximity,mlp_family_slots,100,16513,0.9546998867497168,1686,1766,0.0013322836553018834,22,16513
vlsat,proximity,mlp_pv_global,5,1053,0.32559456398640996,575,1766,0.0,0,1053
vlsat,proximity,mlp_pv_global,10,2508,0.616647791619479,1089,1766,0.0,0,2508
vlsat,proximity,mlp_pv_global,20,4884,0.8335220838052095,1472,1766,0.0,0,4884
vlsat,proximity,mlp_pv_global,50,9995,0.9280860702151755,1639,1766,0.0,0,9995
vlsat,proximity,mlp_pv_global,100,16240,0.9546998867497168,1686,1766,0.0009236453201970443,15,16240
