predictor,method,k,recall_percent,violation_percent
VL-SAT,Source,5,41.943605236656595,0.291970802919708
VL-SAT,Source,10,63.21752265861027,0.8211678832116789
VL-SAT,Source,20,80.74018126888217,1.4233576642335766
VL-SAT,Source,50,92.7240684793555,2.6751824817518246
VL-SAT,Source,100,96.34944612286002,4.764598540145985
VL-SAT,RelCompat3D-Linear,5,42.06948640483384,0.145985401459854
VL-SAT,RelCompat3D-Linear,10,63.39375629405841,0.5656934306569343
VL-SAT,RelCompat3D-Linear,20,80.81570996978851,1.1405109489051095
VL-SAT,RelCompat3D-Linear,50,92.77442094662638,1.9744525547445255
VL-SAT,RelCompat3D-Linear,100,96.57603222557906,2.948905109489051
VL-SAT,RelCompat3D-MLP,5,42.09466263846928,0.145985401459854
VL-SAT,RelCompat3D-MLP,10,63.46928499496476,0.5109489051094891
VL-SAT,RelCompat3D-MLP,20,80.91641490433031,1.094890510948905
VL-SAT,RelCompat3D-MLP,50,92.7240684793555,1.8868613138686132
VL-SAT,RelCompat3D-MLP,100,96.50050352467271,2.963503649635036
Open3DSG,Source,5,3.4239677744209467,52.045028142589125
Open3DSG,Source,10,9.86908358509567,32.889305816135085
Open3DSG,Source,20,19.88922457200403,20.994371482176362
Open3DSG,Source,50,40.433031218529706,13.872203033488512
Open3DSG,Source,100,51.107754279959714,12.415160527720582
Open3DSG,RelCompat3D-Linear,5,3.726082578046324,0.9380863039399625
Open3DSG,RelCompat3D-Linear,10,11.379657603222558,2.3264540337711073
Open3DSG,RelCompat3D-Linear,20,23.615307150050352,3.1332082551594747
Open3DSG,RelCompat3D-Linear,50,44.18429003021148,3.423937528157381
Open3DSG,RelCompat3D-Linear,100,56.84793554884189,3.239151986578205
Open3DSG,RelCompat3D-MLP,5,3.7009063444108756,4.953095684803002
Open3DSG,RelCompat3D-MLP,10,11.782477341389729,4.971857410881801
Open3DSG,RelCompat3D-MLP,20,24.672708962739172,4.559099437148218
Open3DSG,RelCompat3D-MLP,50,46.70191339375629,4.1297492115933325
Open3DSG,RelCompat3D-MLP,100,59.89425981873112,3.713871730343934
SGFN,Source,5,31.16817724068479,2.3722627737226274
SGFN,Source,10,39.75327291037261,3.4854014598540144
SGFN,Source,20,49.11883182275932,3.220802919708029
SGFN,Source,50,74.01812688821752,3.846715328467153
SGFN,Source,100,92.34642497482378,6.297445255474453
SGFN,RelCompat3D-Linear,5,31.16817724068479,2.3722627737226274
SGFN,RelCompat3D-Linear,10,39.75327291037261,3.4671532846715327
SGFN,RelCompat3D-Linear,20,49.14400805639476,2.9744525547445257
SGFN,RelCompat3D-Linear,50,74.49647532729104,2.6313868613138687
SGFN,RelCompat3D-Linear,100,93.02618328298087,3.5018248175182483
SGFN,RelCompat3D-MLP,5,31.16817724068479,2.3722627737226274
SGFN,RelCompat3D-MLP,10,39.75327291037261,3.4671532846715327
SGFN,RelCompat3D-MLP,20,49.19436052366566,2.9562043795620436
SGFN,RelCompat3D-MLP,50,74.57200402819738,2.5766423357664237
SGFN,RelCompat3D-MLP,100,92.87512588116817,3.5036496350364965
