source,method,k,recall,recall_delta,recall_delta_ci95_low,recall_delta_ci95_high,violation,violation_delta,violation_delta_ci95_low,violation_delta_ci95_high,decidable_violation,uncertainty,status_coverage,decidable_coverage,selected
vlsat,linear__temperature_2,5,0.4204431017119839,0.001007049345417954,0.0,0.0022748729949156428,0.00145985401459854,-0.00145985401459854,-0.0029859194593072373,-0.0003424219971529252,0.001697792869269949,0.14014598540145987,1.0,0.8598540145985402,2740
vlsat,linear__temperature_2,10,0.6341893252769386,0.002014098690835908,0.0007456797730666292,0.003789974095122059,0.005291970802919708,-0.0029197080291970805,-0.005055302387669079,-0.0011440874904932263,0.006175468483816013,0.14306569343065692,1.0,0.8569343065693431,5480
vlsat,linear__temperature_2,20,0.8086606243705942,0.0012588116817724426,0.0,0.002643216704114809,0.010766423357664234,-0.0034671532846715317,-0.005235487042289841,-0.0019924630844954877,0.01325991684458928,0.18804744525547445,1.0,0.8119525547445255,10960
vlsat,linear__temperature_2,50,0.9279959718026183,0.0007552870090633546,-0.00026618401585283005,0.0021645336284442426,0.017554744525547446,-0.009197080291970802,-0.011535412277005195,-0.007330928085042239,0.024196388148297197,0.2744890510948905,1.0,0.7255109489051095,27400
vlsat,linear__temperature_2,100,0.9667673716012085,0.003272910372608351,0.0,0.007522517491717054,0.024324817518248176,-0.023321167883211678,-0.025614735499349516,-0.021261413953518157,0.03717130029837428,0.3456021897810219,1.0,0.6543978102189781,54800
vlsat,linear__power_0p5,5,0.4219536757301108,0.0025176233635448297,0.0009286883876699307,0.0044300388843139535,0.00145985401459854,-0.00145985401459854,-0.0029859194593072373,-0.0003424219971529252,0.001697792869269949,0.14014598540145987,1.0,0.8598540145985402,2740
vlsat,linear__power_0p5,10,0.6341893252769386,0.002014098690835908,0.0005442519451343858,0.003962270204053994,0.005474452554744526,-0.002737226277372263,-0.004725120505374091,-0.001048837454939455,0.006388415672913117,0.14306569343065692,1.0,0.8569343065693431,5480
vlsat,linear__power_0p5,20,0.8081570996978852,0.0007552870090634656,-0.0002568152491646325,0.0019209956424520696,0.010766423357664234,-0.0034671532846715317,-0.005235487042289841,-0.0019924630844954877,0.013265879707700956,0.1884124087591241,1.0,0.8115875912408759,10960
vlsat,linear__power_0p5,50,0.9279959718026183,0.0007552870090633546,-0.00026618401585283005,0.0021645336284442426,0.017737226277372262,-0.009014598540145986,-0.011257272520989337,-0.007152586938341992,0.02446267680072482,0.27492700729927005,1.0,0.7250729927007299,27400
vlsat,linear__power_0p5,100,0.9657603222557906,0.0022658610271903967,0.0,0.00494069676800389,0.02551094890510949,-0.022135036496350364,-0.024350282485875705,-0.020238623045978073,0.039079752886254995,0.34720802919708027,1.0,0.6527919708029197,54800
vlsat,linear__power_4,5,0.4199395770392749,0.000503524672708977,0.0,0.0012659325713826979,0.0025547445255474453,-0.00036496350364963485,-0.0011834319526627217,0.0,0.0029723991507431,0.14051094890510948,1.0,0.8594890510948905,2740
vlsat,linear__power_4,10,0.6336858006042296,0.0015105740181269312,0.00027218290691344293,0.0031991267232968686,0.006751824817518248,-0.0014598540145985403,-0.00282833047455689,-0.00037518201674554066,0.007880724174653887,0.14324817518248176,1.0,0.8567518248175182,5480
vlsat,linear__power_4,20,0.8081570996978852,0.0007552870090634656,0.0,0.001811924785782298,0.013138686131386862,-0.0010948905109489041,-0.001826953839122486,-0.0005375387441166345,0.016194331983805668,0.18868613138686133,1.0,0.8113138686131387,10960
vlsat,linear__power_4,50,0.9272406847935549,0.0,0.0,0.0,0.023613138686131387,-0.0031386861313868614,-0.004038987673175521,-0.0023238881881671447,0.032558373590982286,0.2747445255474453,1.0,0.7252554744525548,27400
vlsat,linear__power_4,100,0.9637462235649547,0.0002517623363544885,0.0,0.000757202897220588,0.039142335766423356,-0.008503649635036498,-0.009523938923395446,-0.007531236183570608,0.059988254048158406,0.3475,1.0,0.6525,54800
vlsat,mlp__temperature_2,5,0.4206948640483384,0.0012588116817724426,-0.0002463420349856374,0.0029452370513997433,0.00145985401459854,-0.00145985401459854,-0.0029859194593072373,-0.0003424219971529252,0.0016985138004246285,0.14051094890510948,1.0,0.8594890510948905,2740
vlsat,mlp__temperature_2,10,0.6356998992950654,0.0035246727089627283,0.0013278298852385934,0.006071098996541379,0.004744525547445255,-0.0034671532846715335,-0.006017699115044247,-0.0012914534532085656,0.005530738140821102,0.14215328467153285,1.0,0.8578467153284671,5480
vlsat,mlp__temperature_2,20,0.8104229607250756,0.0030211480362538623,0.0012589552492484224,0.004922528318518202,0.010310218978102189,-0.003923357664233577,-0.005919919381180032,-0.002276393615966691,0.012683802895947918,0.18713503649635035,1.0,0.8128649635036497,10960
vlsat,mlp__temperature_2,50,0.9279959718026183,0.0007552870090633546,-0.00026358450151105494,0.0018745079275176624,0.017226277372262774,-0.009525547445255474,-0.011736326868278335,-0.007526334427918357,0.023665078967159688,0.2720802919708029,1.0,0.727919708029197,27400
vlsat,mlp__temperature_2,100,0.966515609264854,0.0030211480362538623,-0.00048692344638457394,0.007395083368156471,0.0247992700729927,-0.022846715328467153,-0.025310701131610085,-0.020687614339937106,0.037691368981584206,0.34204379562043796,1.0,0.657956204379562,54800
vlsat,linear__context_family_percentile,5,0.4199395770392749,0.000503524672708977,-0.0019419487043579055,0.0032343775113912255,0.00145985401459854,-0.00145985401459854,-0.0029859194593072373,-0.0003424219971529252,0.0016891891891891893,0.13576642335766423,1.0,0.8642335766423358,2740
vlsat,linear__context_family_percentile,10,0.6339375629405841,0.0017623363544814197,-0.001992829366964319,0.005355055927831567,0.004744525547445255,-0.0034671532846715335,-0.006017699115044247,-0.0012914534532085656,0.005484075089643535,0.13485401459854016,1.0,0.8651459854014598,5480
