predictor,method,k,recall_numerator,recall_denominator,recall,recall_percent
VL-SAT,Source,5,1666,3972,0.41943605236656595,41.943605236656595
VL-SAT,Source,10,2511,3972,0.6321752265861027,63.21752265861027
VL-SAT,Source,20,3207,3972,0.8074018126888217,80.74018126888217
VL-SAT,Source,50,3683,3972,0.9272406847935549,92.7240684793555
VL-SAT,Source,100,3827,3972,0.9634944612286002,96.34944612286002
VL-SAT,RelCompat3D-Linear,5,1671,3972,0.4206948640483384,42.06948640483384
VL-SAT,RelCompat3D-Linear,10,2518,3972,0.6339375629405841,63.39375629405841
VL-SAT,RelCompat3D-Linear,20,3210,3972,0.8081570996978852,80.81570996978851
VL-SAT,RelCompat3D-Linear,50,3685,3972,0.9277442094662638,92.77442094662638
VL-SAT,RelCompat3D-Linear,100,3836,3972,0.9657603222557906,96.57603222557906
VL-SAT,RelCompat3D-MLP,5,1672,3972,0.4209466263846928,42.09466263846928
VL-SAT,RelCompat3D-MLP,10,2521,3972,0.6346928499496476,63.46928499496476
VL-SAT,RelCompat3D-MLP,20,3214,3972,0.8091641490433031,80.91641490433031
VL-SAT,RelCompat3D-MLP,50,3683,3972,0.9272406847935549,92.7240684793555
VL-SAT,RelCompat3D-MLP,100,3833,3972,0.9650050352467271,96.50050352467271
VL-SAT,Unconstrained oracle,5,2253,3972,0.5672205438066465,56.72205438066465
VL-SAT,Unconstrained oracle,10,3327,3972,0.8376132930513596,83.76132930513596
VL-SAT,Unconstrained oracle,20,3859,3972,0.9715508559919436,97.15508559919435
VL-SAT,Unconstrained oracle,50,3961,3972,0.9972306143001007,99.72306143001008
VL-SAT,Unconstrained oracle,100,3961,3972,0.9972306143001007,99.72306143001008
VL-SAT,Family-slot oracle,5,2067,3972,0.520392749244713,52.0392749244713
VL-SAT,Family-slot oracle,10,3104,3972,0.7814702920443102,78.14702920443102
VL-SAT,Family-slot oracle,20,3723,3972,0.9373111782477341,93.7311178247734
VL-SAT,Family-slot oracle,50,3953,3972,0.9952165156092648,99.52165156092649
VL-SAT,Family-slot oracle,100,3961,3972,0.9972306143001007,99.72306143001008
VL-SAT,Active-route oracle,5,1836,3972,0.4622356495468278,46.22356495468278
VL-SAT,Active-route oracle,10,2813,3972,0.7082074521651561,70.82074521651562
VL-SAT,Active-route oracle,20,3482,3972,0.8766364551863042,87.66364551863042
VL-SAT,Active-route oracle,50,3842,3972,0.9672708962739174,96.72708962739173
VL-SAT,Active-route oracle,100,3924,3972,0.9879154078549849,98.79154078549848
Open3DSG,Source,5,136,3972,0.03423967774420947,3.4239677744209467
Open3DSG,Source,10,392,3972,0.0986908358509567,9.86908358509567
Open3DSG,Source,20,790,3972,0.19889224572004027,19.88922457200403
Open3DSG,Source,50,1606,3972,0.4043303121852971,40.433031218529706
Open3DSG,Source,100,2030,3972,0.5110775427995972,51.107754279959714
Open3DSG,RelCompat3D-Linear,5,148,3972,0.03726082578046324,3.726082578046324
Open3DSG,RelCompat3D-Linear,10,452,3972,0.11379657603222558,11.379657603222558
Open3DSG,RelCompat3D-Linear,20,938,3972,0.23615307150050352,23.615307150050352
Open3DSG,RelCompat3D-Linear,50,1755,3972,0.4418429003021148,44.18429003021148
Open3DSG,RelCompat3D-Linear,100,2258,3972,0.5684793554884189,56.84793554884189
Open3DSG,RelCompat3D-MLP,5,147,3972,0.03700906344410876,3.7009063444108756
Open3DSG,RelCompat3D-MLP,10,468,3972,0.11782477341389729,11.782477341389729
Open3DSG,RelCompat3D-MLP,20,980,3972,0.24672708962739173,24.672708962739172
Open3DSG,RelCompat3D-MLP,50,1855,3972,0.46701913393756295,46.70191339375629
Open3DSG,RelCompat3D-MLP,100,2379,3972,0.5989425981873112,59.89425981873112
Open3DSG,Unconstrained oracle,5,1988,3972,0.500503524672709,50.0503524672709
Open3DSG,Unconstrained oracle,10,2776,3972,0.6988922457200403,69.88922457200403
Open3DSG,Unconstrained oracle,20,3124,3972,0.7865055387713998,78.65055387713998
Open3DSG,Unconstrained oracle,50,3165,3972,0.7968277945619335,79.68277945619336
Open3DSG,Unconstrained oracle,100,3165,3972,0.7968277945619335,79.68277945619336
Open3DSG,Family-slot oracle,5,545,3972,0.13721047331319233,13.721047331319234
Open3DSG,Family-slot oracle,10,1391,3972,0.3502014098690836,35.02014098690836
Open3DSG,Family-slot oracle,20,2436,3972,0.6132930513595166,61.329305135951664
Open3DSG,Family-slot oracle,50,2918,3972,0.7346424974823766,73.46424974823766
Open3DSG,Family-slot oracle,100,3066,3972,0.7719033232628398,77.19033232628398
Open3DSG,Active-route oracle,5,326,3972,0.08207452165156093,8.207452165156093
Open3DSG,Active-route oracle,10,814,3972,0.20493454179254783,20.493454179254783
Open3DSG,Active-route oracle,20,1591,3972,0.40055387713997986,40.05538771399799
Open3DSG,Active-route oracle,50,2531,3972,0.6372104733131924,63.721047331319234
Open3DSG,Active-route oracle,100,2855,3972,0.7187814702920443,71.87814702920443
SGFN,Source,5,1238,3972,0.3116817724068479,31.16817724068479
SGFN,Source,10,1579,3972,0.39753272910372606,39.75327291037261
SGFN,Source,20,1951,3972,0.4911883182275932,49.11883182275932
SGFN,Source,50,2940,3972,0.7401812688821753,74.01812688821752
SGFN,Source,100,3668,3972,0.9234642497482377,92.34642497482378
SGFN,RelCompat3D-Linear,5,1238,3972,0.3116817724068479,31.16817724068479
SGFN,RelCompat3D-Linear,10,1579,3972,0.39753272910372606,39.75327291037261
SGFN,RelCompat3D-Linear,20,1952,3972,0.4914400805639476,49.14400805639476
SGFN,RelCompat3D-Linear,50,2959,3972,0.7449647532729103,74.49647532729104
SGFN,RelCompat3D-Linear,100,3695,3972,0.9302618328298087,93.02618328298087
SGFN,RelCompat3D-MLP,5,1238,3972,0.3116817724068479,31.16817724068479
SGFN,RelCompat3D-MLP,10,1579,3972,0.39753272910372606,39.75327291037261
SGFN,RelCompat3D-MLP,20,1954,3972,0.4919436052366566,49.19436052366566
SGFN,RelCompat3D-MLP,50,2962,3972,0.7457200402819738,74.57200402819738
SGFN,RelCompat3D-MLP,100,3689,3972,0.9287512588116817,92.87512588116817
SGFN,Unconstrained oracle,5,2253,3972,0.5672205438066465,56.72205438066465
SGFN,Unconstrained oracle,10,3327,3972,0.8376132930513596,83.76132930513596
SGFN,Unconstrained oracle,20,3859,3972,0.9715508559919436,97.15508559919435
SGFN,Unconstrained oracle,50,3961,3972,0.9972306143001007,99.72306143001008
SGFN,Unconstrained oracle,100,3961,3972,0.9972306143001007,99.72306143001008
SGFN,Family-slot oracle,5,1708,3972,0.4300100704934542,43.00100704934542
SGFN,Family-slot oracle,10,1908,3972,0.48036253776435045,48.036253776435046
SGFN,Family-slot oracle,20,2308,3972,0.581067472306143,58.106747230614296
SGFN,Family-slot oracle,50,3498,3972,0.8806646525679759,88.06646525679758
SGFN,Family-slot oracle,100,3958,3972,0.9964753272910373,99.64753272910373
SGFN,Active-route oracle,5,1241,3972,0.3124370594159114,31.243705941591138
SGFN,Active-route oracle,10,1606,3972,0.4043303121852971,40.433031218529706
