source,condition,k,recall,violation
vlsat,linear_full,5,0.4206948640483384,0.00145985401459854
vlsat,linear_full,10,0.6339375629405841,0.0056569343065693434
vlsat,linear_full,20,0.8081570996978852,0.011405109489051095
vlsat,linear_full,50,0.9277442094662638,0.019744525547445255
vlsat,linear_full,100,0.9657603222557906,0.02948905109489051
vlsat,linear_no_pairwise,5,0.4206948640483384,0.00145985401459854
vlsat,linear_no_pairwise,10,0.6339375629405841,0.0056569343065693434
vlsat,linear_no_pairwise,20,0.8081570996978852,0.011405109489051095
vlsat,linear_no_pairwise,50,0.9277442094662638,0.019781021897810218
vlsat,linear_no_pairwise,100,0.9657603222557906,0.029689781021897812
vlsat,linear_no_averaging,5,0.4206948640483384,0.00145985401459854
vlsat,linear_no_averaging,10,0.6339375629405841,0.0056569343065693434
vlsat,linear_no_averaging,20,0.8081570996978852,0.011405109489051095
vlsat,linear_no_averaging,50,0.9277442094662638,0.019744525547445255
vlsat,linear_no_averaging,100,0.966012084592145,0.029507299270072992
vlsat,mlp_full,5,0.4209466263846928,0.00145985401459854
vlsat,mlp_full,10,0.6346928499496476,0.0051094890510948905
vlsat,mlp_full,20,0.8091641490433031,0.010948905109489052
vlsat,mlp_full,50,0.9272406847935549,0.01886861313868613
vlsat,mlp_full,100,0.9650050352467271,0.029635036496350364
vlsat,mlp_no_pairwise,5,0.4201913393756294,0.00145985401459854
vlsat,mlp_no_pairwise,10,0.6344410876132931,0.004927007299270073
vlsat,mlp_no_pairwise,20,0.8094159113796576,0.010583941605839416
vlsat,mlp_no_pairwise,50,0.9274924471299094,0.017956204379562045
vlsat,mlp_no_pairwise,100,0.9647532729103726,0.02802919708029197
vlsat,mlp_no_averaging,5,0.4209466263846928,0.00145985401459854
vlsat,mlp_no_averaging,10,0.6341893252769386,0.005291970802919708
vlsat,mlp_no_averaging,20,0.8089123867069486,0.01104014598540146
vlsat,mlp_no_averaging,50,0.9274924471299094,0.01886861313868613
vlsat,mlp_no_averaging,100,0.9645015105740181,0.0295985401459854
open3dsg,linear_full,5,0.03726082578046324,0.009380863039399626
open3dsg,linear_full,10,0.11379657603222558,0.02326454033771107
open3dsg,linear_full,20,0.23615307150050352,0.031332082551594746
open3dsg,linear_full,50,0.4418429003021148,0.03423937528157381
open3dsg,linear_full,100,0.5684793554884189,0.03239151986578205
open3dsg,linear_no_pairwise,5,0.03726082578046324,0.009380863039399626
open3dsg,linear_no_pairwise,10,0.11354481369587109,0.02326454033771107
open3dsg,linear_no_pairwise,20,0.23590130916414903,0.031332082551594746
open3dsg,linear_no_pairwise,50,0.4418429003021148,0.03423937528157381
open3dsg,linear_no_pairwise,100,0.5692346424974823,0.03241058491573248
open3dsg,linear_no_averaging,5,0.03726082578046324,0.009380863039399626
open3dsg,linear_no_averaging,10,0.11278952668680765,0.02326454033771107
open3dsg,linear_no_averaging,20,0.23539778449144008,0.031332082551594746
open3dsg,linear_no_averaging,50,0.44133937562940584,0.03423937528157381
open3dsg,linear_no_averaging,100,0.5692346424974823,0.03241058491573248
open3dsg,mlp_full,5,0.03700906344410876,0.04953095684803002
open3dsg,mlp_full,10,0.11782477341389729,0.04971857410881801
open3dsg,mlp_full,20,0.24672708962739173,0.045590994371482174
open3dsg,mlp_full,50,0.46701913393756295,0.041297492115933324
open3dsg,mlp_full,100,0.5989425981873112,0.03713871730343934
open3dsg,mlp_no_pairwise,5,0.03751258811681772,0.04202626641651032
open3dsg,mlp_no_pairwise,10,0.11782477341389729,0.04484052532833021
open3dsg,mlp_no_pairwise,20,0.24471299093655588,0.043151969981238276
open3dsg,mlp_no_pairwise,50,0.45996978851963743,0.03990839465385193
open3dsg,mlp_no_pairwise,100,0.5939073514602216,0.03620452985586822
open3dsg,mlp_no_averaging,5,0.03700906344410876,0.03564727954971857
open3dsg,mlp_no_averaging,10,0.1175730110775428,0.04108818011257036
open3dsg,mlp_no_averaging,20,0.23992950654582074,0.04127579737335835
open3dsg,mlp_no_averaging,50,0.45065458207452164,0.039758221955248536
open3dsg,mlp_no_averaging,100,0.5735146022155085,0.03681461145428201
sgfn,linear_full,5,0.3116817724068479,0.023722627737226276
sgfn,linear_full,10,0.39753272910372606,0.03467153284671533
sgfn,linear_full,20,0.4914400805639476,0.029744525547445257
sgfn,linear_full,50,0.7449647532729103,0.026313868613138686
sgfn,linear_full,100,0.9302618328298087,0.03501824817518248
sgfn,linear_no_pairwise,5,0.3116817724068479,0.023722627737226276
sgfn,linear_no_pairwise,10,0.39753272910372606,0.03467153284671533
sgfn,linear_no_pairwise,20,0.4914400805639476,0.029744525547445257
sgfn,linear_no_pairwise,50,0.7449647532729103,0.026386861313868613
sgfn,linear_no_pairwise,100,0.9302618328298087,0.03529197080291971
sgfn,linear_no_averaging,5,0.3116817724068479,0.023722627737226276
sgfn,linear_no_averaging,10,0.39753272910372606,0.03467153284671533
sgfn,linear_no_averaging,20,0.4914400805639476,0.029744525547445257
sgfn,linear_no_averaging,50,0.7449647532729103,0.026313868613138686
sgfn,linear_no_averaging,100,0.9302618328298087,0.035
sgfn,mlp_full,5,0.3116817724068479,0.023722627737226276
sgfn,mlp_full,10,0.39753272910372606,0.03467153284671533
sgfn,mlp_full,20,0.4919436052366566,0.029562043795620437
sgfn,mlp_full,50,0.7457200402819738,0.025766423357664235
sgfn,mlp_full,100,0.9287512588116817,0.035036496350364967
sgfn,mlp_no_pairwise,5,0.3116817724068479,0.023722627737226276
sgfn,mlp_no_pairwise,10,0.39753272910372606,0.03467153284671533
sgfn,mlp_no_pairwise,20,0.4916918429003021,0.02947080291970803
sgfn,mlp_no_pairwise,50,0.7452165156092648,0.02551094890510949
sgfn,mlp_no_pairwise,100,0.9295065458207452,0.03302919708029197
sgfn,mlp_no_averaging,5,0.3116817724068479,0.023722627737226276
sgfn,mlp_no_averaging,10,0.39753272910372606,0.03467153284671533
sgfn,mlp_no_averaging,20,0.4921953675730111,0.029562043795620437
sgfn,mlp_no_averaging,50,0.7457200402819738,0.0258029197080292
sgfn,mlp_no_averaging,100,0.9300100704934542,0.03521897810218978
