source,method,k,violation_all,violation_decidable,uncertainty_rate,pessimistic_violation,decidable_coverage,status_coverage,selected,satisfied,uncertain,violated,other
vlsat,source_score,5,0.00291970802919708,0.003397027600849257,0.14051094890510948,0.14343065693430657,0.8594890510948905,1.0,2740,2347,385,8,0
vlsat,source_score,10,0.008211678832116789,0.009586706433745207,0.14343065693430657,0.15164233576642336,0.8565693430656934,1.0,5480,4649,786,45,0
vlsat,source_score,20,0.014233576642335766,0.017543859649122806,0.18868613138686133,0.2029197080291971,0.8113138686131387,1.0,10960,8736,2068,156,0
vlsat,source_score,50,0.026751824817518248,0.036848984516388496,0.274014598540146,0.30076642335766424,0.725985401459854,1.0,27400,19159,7508,733,0
vlsat,source_score,100,0.04764598540145985,0.07289834436161599,0.3464051094890511,0.39405109489051093,0.6535948905109489,1.0,54800,33206,18983,2611,0
vlsat,all_family_product,5,0.0010948905109489052,0.001254180602006689,0.12700729927007298,0.1281021897810219,0.872992700729927,1.0,2740,2389,348,3,0
vlsat,all_family_product,10,0.004927007299270073,0.005690200210748156,0.13412408759124086,0.13905109489051096,0.8658759124087592,1.0,5480,4718,735,27,0
vlsat,all_family_product,20,0.01104014598540146,0.013380515315713812,0.1749087591240876,0.18594890510948905,0.8250912408759125,1.0,10960,8922,1917,121,0
vlsat,all_family_product,50,0.02029197080291971,0.02709551656920078,0.2510948905109489,0.27138686131386863,0.7489051094890511,1.0,27400,19964,6880,556,0
vlsat,all_family_product,100,0.032481751824817516,0.04728509191371799,0.31306569343065693,0.34554744525547443,0.6869343065693431,1.0,54800,35864,17156,1780,0
vlsat,rank_average_all_families,5,0.012043795620437956,0.01390644753476612,0.13394160583941606,0.145985401459854,0.8660583941605839,1.0,2740,2340,367,33,0
vlsat,rank_average_all_families,10,0.013138686131386862,0.015215553677092139,0.1364963503649635,0.14963503649635038,0.8635036496350365,1.0,5480,4660,748,72,0
vlsat,rank_average_all_families,20,0.0177007299270073,0.020770877944325482,0.1478102189781022,0.16551094890510948,0.8521897810218978,1.0,10960,9146,1620,194,0
vlsat,rank_average_all_families,50,0.019233576642335767,0.023832134943246056,0.19295620437956204,0.2121897810218978,0.8070437956204379,1.0,27400,21586,5287,527,0
vlsat,rank_average_all_families,100,0.024762773722627737,0.03383702373828047,0.2681751824817518,0.29293795620437957,0.7318248175182481,1.0,54800,38747,14696,1357,0
vlsat,rrf_all_families,5,0.010583941605839416,0.012478485370051634,0.15182481751824817,0.1624087591240876,0.8481751824817518,1.0,2740,2295,416,29,0
vlsat,rrf_all_families,10,0.01167883211678832,0.013751611516974646,0.15072992700729926,0.1624087591240876,0.8492700729927007,1.0,5480,4590,826,64,0
