source,condition,k,recall,violation
vlsat,source_score,5,0.41943605236656595,0.00291970802919708
vlsat,source_score,10,0.6321752265861027,0.008211678832116789
vlsat,source_score,20,0.8074018126888217,0.014233576642335766
vlsat,source_score,50,0.9272406847935549,0.026751824817518248
vlsat,source_score,100,0.9634944612286002,0.04764598540145985
vlsat,full_linear,5,0.4206948640483384,0.00145985401459854
vlsat,full_linear,10,0.6339375629405841,0.0056569343065693434
vlsat,full_linear,20,0.8081570996978852,0.011405109489051095
vlsat,full_linear,50,0.9277442094662638,0.019744525547445255
vlsat,full_linear,100,0.9657603222557906,0.02948905109489051
vlsat,no_pairwise_loss,5,0.4206948640483384,0.00145985401459854
vlsat,no_pairwise_loss,10,0.6339375629405841,0.0056569343065693434
vlsat,no_pairwise_loss,20,0.8081570996978852,0.011405109489051095
vlsat,no_pairwise_loss,50,0.9277442094662638,0.019781021897810218
vlsat,no_pairwise_loss,100,0.9657603222557906,0.029689781021897812
vlsat,no_transformation_averaging,5,0.4206948640483384,0.00145985401459854
vlsat,no_transformation_averaging,10,0.6339375629405841,0.0056569343065693434
vlsat,no_transformation_averaging,20,0.8081570996978852,0.011405109489051095
vlsat,no_transformation_averaging,50,0.9277442094662638,0.019744525547445255
vlsat,no_transformation_averaging,100,0.966012084592145,0.029507299270072992
open3dsg,source_score,5,0.03423967774420947,0.5204502814258912
open3dsg,source_score,10,0.0986908358509567,0.32889305816135084
open3dsg,source_score,20,0.19889224572004027,0.2099437148217636
open3dsg,source_score,50,0.4043303121852971,0.13872203033488512
open3dsg,source_score,100,0.5110775427995972,0.12415160527720583
open3dsg,full_linear,5,0.03726082578046324,0.009380863039399626
open3dsg,full_linear,10,0.11379657603222558,0.02326454033771107
open3dsg,full_linear,20,0.23615307150050352,0.031332082551594746
open3dsg,full_linear,50,0.4418429003021148,0.03423937528157381
open3dsg,full_linear,100,0.5684793554884189,0.03239151986578205
open3dsg,no_pairwise_loss,5,0.03726082578046324,0.009380863039399626
open3dsg,no_pairwise_loss,10,0.11354481369587109,0.02326454033771107
open3dsg,no_pairwise_loss,20,0.23590130916414903,0.031332082551594746
open3dsg,no_pairwise_loss,50,0.4418429003021148,0.03423937528157381
open3dsg,no_pairwise_loss,100,0.5692346424974823,0.03241058491573248
open3dsg,no_transformation_averaging,5,0.03726082578046324,0.009380863039399626
open3dsg,no_transformation_averaging,10,0.11278952668680765,0.02326454033771107
open3dsg,no_transformation_averaging,20,0.23539778449144008,0.031332082551594746
open3dsg,no_transformation_averaging,50,0.44133937562940584,0.03423937528157381
open3dsg,no_transformation_averaging,100,0.5692346424974823,0.03241058491573248
sgfn,source_score,5,0.3116817724068479,0.023722627737226276
sgfn,source_score,10,0.39753272910372606,0.034854014598540144
sgfn,source_score,20,0.4911883182275932,0.03220802919708029
sgfn,source_score,50,0.7401812688821753,0.03846715328467153
sgfn,source_score,100,0.9234642497482377,0.06297445255474453
sgfn,full_linear,5,0.3116817724068479,0.023722627737226276
sgfn,full_linear,10,0.39753272910372606,0.03467153284671533
sgfn,full_linear,20,0.4914400805639476,0.029744525547445257
sgfn,full_linear,50,0.7449647532729103,0.026313868613138686
sgfn,full_linear,100,0.9302618328298087,0.03501824817518248
sgfn,no_pairwise_loss,5,0.3116817724068479,0.023722627737226276
sgfn,no_pairwise_loss,10,0.39753272910372606,0.03467153284671533
sgfn,no_pairwise_loss,20,0.4914400805639476,0.029744525547445257
sgfn,no_pairwise_loss,50,0.7449647532729103,0.026386861313868613
sgfn,no_pairwise_loss,100,0.9302618328298087,0.03529197080291971
sgfn,no_transformation_averaging,5,0.3116817724068479,0.023722627737226276
sgfn,no_transformation_averaging,10,0.39753272910372606,0.03467153284671533
sgfn,no_transformation_averaging,20,0.4914400805639476,0.029744525547445257
sgfn,no_transformation_averaging,50,0.7449647532729103,0.026313868613138686
sgfn,no_transformation_averaging,100,0.9302618328298087,0.035
