method,k,recall,violation,delta_recall,delta_violation
source_score,5,0.046511627906976744,0.05454545454545454,0.0,0.0
source_score,10,0.0755813953488372,0.08181818181818182,0.0,0.0
source_score,20,0.14534883720930233,0.12727272727272726,0.0,0.0
source_score,50,0.2616279069767442,0.13284132841328414,0.0,0.0
source_score,100,0.3546511627906977,0.1967370441458733,0.0,0.0
relcompat3d_linear,5,0.06976744186046512,0.01818181818181818,0.023255813953488372,-0.03636363636363636
relcompat3d_linear,10,0.14534883720930233,0.02727272727272727,0.06976744186046513,-0.05454545454545455
relcompat3d_linear,20,0.22093023255813954,0.03636363636363636,0.0755813953488372,-0.0909090909090909
relcompat3d_linear,50,0.313953488372093,0.09040590405904059,0.05232558139534882,-0.04243542435424355
relcompat3d_linear,100,0.3546511627906977,0.19577735124760076,0.0,-0.0009596928982725517
unrestricted_product,5,0.06395348837209303,0.01818181818181818,0.017441860465116282,-0.03636363636363636
unrestricted_product,10,0.13953488372093023,0.02727272727272727,0.06395348837209303,-0.05454545454545455
unrestricted_product,20,0.22093023255813954,0.031818181818181815,0.0755813953488372,-0.09545454545454544
unrestricted_product,50,0.313953488372093,0.0940959409594096,0.05232558139534882,-0.03874538745387454
unrestricted_product,100,0.3546511627906977,0.19577735124760076,0.0,-0.0009596928982725517
rank_average,5,0.08139534883720931,0.0,0.034883720930232565,-0.05454545454545454
rank_average,10,0.13372093023255813,0.0,0.05813953488372092,-0.08181818181818182
rank_average,20,0.19186046511627908,0.004545454545454545,0.046511627906976744,-0.12272727272727271
rank_average,50,0.3430232558139535,0.023985239852398525,0.08139534883720928,-0.1088560885608856
rank_average,100,0.38372093023255816,0.04222648752399232,0.02906976744186046,-0.15451055662188098
global_rank_average,5,0.05813953488372093,0.0,0.011627906976744186,-0.05454545454545454
global_rank_average,10,0.09302325581395349,0.0,0.017441860465116282,-0.08181818181818182
global_rank_average,20,0.1569767441860465,0.004545454545454545,0.011627906976744179,-0.12272727272727271
global_rank_average,50,0.23255813953488372,0.02029520295202952,-0.02906976744186049,-0.11254612546125461
global_rank_average,100,0.31976744186046513,0.04222648752399232,-0.034883720930232565,-0.15451055662188098
global_rrf_c60,5,0.06976744186046512,0.0,0.023255813953488372,-0.05454545454545454
global_rrf_c60,10,0.10465116279069768,0.0,0.029069767441860475,-0.08181818181818182
global_rrf_c60,20,0.13953488372093023,0.00909090909090909,-0.005813953488372103,-0.11818181818181817
global_rrf_c60,50,0.22093023255813954,0.046125461254612546,-0.04069767441860467,-0.08671586715867159
global_rrf_c60,100,0.32558139534883723,0.061420345489443376,-0.02906976744186046,-0.13531669865642992
routed_compatibility_only,5,0.05232558139534884,0.0,0.005813953488372096,-0.05454545454545454
routed_compatibility_only,10,0.09302325581395349,0.0,0.017441860465116282,-0.08181818181818182
routed_compatibility_only,20,0.19186046511627908,0.0,0.046511627906976744,-0.12727272727272726
routed_compatibility_only,50,0.27906976744186046,0.014760147601476014,0.017441860465116255,-0.11808118081180813
routed_compatibility_only,100,0.37209302325581395,0.02399232245681382,0.017441860465116255,-0.1727447216890595
