source,supervision,method,k,recall,violation
vlsat,shared constructed compatibility target,source_score,5,0.41943605236656595,0.00291970802919708
vlsat,shared constructed compatibility target,source_score,10,0.6321752265861027,0.008211678832116789
vlsat,shared constructed compatibility target,source_score,20,0.8074018126888217,0.014233576642335766
vlsat,shared constructed compatibility target,source_score,50,0.9272406847935549,0.026751824817518248
vlsat,shared constructed compatibility target,source_score,100,0.9634944612286002,0.04764598540145985
vlsat,shared constructed compatibility target,all_family_product,5,0.4174219536757301,0.0010948905109489052
vlsat,shared constructed compatibility target,all_family_product,10,0.6331822759315207,0.004927007299270073
vlsat,shared constructed compatibility target,all_family_product,20,0.8094159113796576,0.01104014598540146
vlsat,shared constructed compatibility target,all_family_product,50,0.9292547834843907,0.02029197080291971
vlsat,shared constructed compatibility target,all_family_product,100,0.9687814702920443,0.032481751824817516
vlsat,shared constructed compatibility target,shared_mlp_bce_product,5,0.4174219536757301,0.00145985401459854
vlsat,shared constructed compatibility target,shared_mlp_bce_product,10,0.6324269889224572,0.004927007299270073
vlsat,shared constructed compatibility target,shared_mlp_bce_product,20,0.8091641490433031,0.009945255474452555
vlsat,shared constructed compatibility target,shared_mlp_bce_product,50,0.9279959718026183,0.018686131386861315
vlsat,shared constructed compatibility target,shared_mlp_bce_product,100,0.9687814702920443,0.03136861313868613
vlsat,shared constructed compatibility target,shared_mlp_pairwise_product,5,0.4179254783484391,0.00145985401459854
vlsat,shared constructed compatibility target,shared_mlp_pairwise_product,10,0.6321752265861027,0.004379562043795621
vlsat,shared constructed compatibility target,shared_mlp_pairwise_product,20,0.8086606243705942,0.010127737226277373
vlsat,shared constructed compatibility target,shared_mlp_pairwise_product,50,0.9274924471299094,0.019233576642335767
vlsat,shared constructed compatibility target,shared_mlp_pairwise_product,100,0.9687814702920443,0.031697080291970804
vlsat,SGFN-specific exact-label correctness,source_specific_exact_label_nonlinear,5,0.3607754279959718,0.0
vlsat,SGFN-specific exact-label correctness,source_specific_exact_label_nonlinear,10,0.5717522658610272,0.0016423357664233577
vlsat,SGFN-specific exact-label correctness,source_specific_exact_label_nonlinear,20,0.763595166163142,0.0056569343065693434
vlsat,SGFN-specific exact-label correctness,source_specific_exact_label_nonlinear,50,0.918932527693857,0.01510948905109489
vlsat,SGFN-specific exact-label correctness,source_specific_exact_label_nonlinear,100,0.9624874118831823,0.031094890510948905
open3dsg,shared constructed compatibility target,source_score,5,0.03675730110775428,0.5131386861313869
open3dsg,shared constructed compatibility target,source_score,10,0.10020140986908359,0.32554744525547447
open3dsg,shared constructed compatibility target,source_score,20,0.19914400805639476,0.20879020467836257
open3dsg,shared constructed compatibility target,source_score,50,0.4096173212487412,0.1386412202490605
open3dsg,shared constructed compatibility target,source_score,100,0.5161127895266868,0.12419865751564975
open3dsg,shared constructed compatibility target,all_family_product,5,0.10120845921450151,0.040145985401459854
open3dsg,shared constructed compatibility target,all_family_product,10,0.19838872104733132,0.04525547445255475
open3dsg,shared constructed compatibility target,all_family_product,20,0.3320745216515609,0.04358552631578947
open3dsg,shared constructed compatibility target,all_family_product,50,0.4685297079556898,0.029032495763024097
open3dsg,shared constructed compatibility target,all_family_product,100,0.6052366565961732,0.033958066219171884
