source,prediction_id,family,predicate,compatibility_monotone,compatibility_endpoint_change
vlsat,vlsat_closed_set:full_official_validation:38770ca1-86d7-27b8-8619-ab66f67d9adf:1:71:43:close by,proximity,close by,True,-0.730344322384503
sgfn,sgfn_official_full_l160:official_test:c7895f2b-339c-2d13-8248-b0507e050314:3:19:33:close by,proximity,close by,True,-0.4122107984156942
open3dsg,open3dsg_ov:full_official_validation:38770ca3-86d7-27b8-85a7-7d840ffdec6a_1:58:61:close by,proximity,close by,True,-0.4508250078073403
vlsat,vlsat_closed_set:full_official_validation:bcb0fe06-4f39-2c70-9c24-a8dd7496c2f8:1:29:38:close by,proximity,close by,True,-0.12177669982300476
open3dsg,open3dsg_ov:full_official_validation:7747a510-9431-24e8-8705-907ee78be2a2_2:21:23:close by,proximity,close by,True,-0.7599400767291223
open3dsg,open3dsg_ov:full_official_validation:38770ca1-86d7-27b8-8619-ab66f67d9adf_6:5:32:close by,proximity,close by,True,-0.5040947860851845
open3dsg,open3dsg_ov:full_official_validation:38770ca3-86d7-27b8-85a7-7d840ffdec6a_8:7:16:close by,proximity,close by,True,-0.7692899364391125
open3dsg,open3dsg_ov:full_official_validation:0cac75de-8d6f-2d13-8e1a-b574569c3885_5:11:32:close by,proximity,close by,True,-0.46050548432653904
open3dsg,open3dsg_ov:full_official_validation:d7dc987e-a34a-2794-85c8-f75389b27532_1:2:7:close by,proximity,close by,True,-0.6583160934475851
vlsat,vlsat_closed_set:full_official_validation:10b17957-3938-2467-88a5-9e9254930dad:6:1:7:close by,proximity,close by,True,-0.2874885196538641
open3dsg,open3dsg_ov:full_official_validation:ab835faa-54c6-29a1-9b55-1a5217fcba19_3:19:15:close by,proximity,close by,True,-0.5031620629325029
open3dsg,open3dsg_ov:full_official_validation:e61b0e04-bada-2f31-82d6-72831a602ba7_6:1:39:close by,proximity,close by,True,-0.48440889574029605
sgfn,sgfn_official_full_l160:official_test:ddc73797-765b-241a-9e2c-097c5989baf6:4:53:100:close by,proximity,close by,True,-0.16762924527714995
open3dsg,open3dsg_ov:full_official_validation:20c993b7-698f-29c5-847d-c8cb8a685f5a_1:7:1:close by,proximity,close by,True,-0.7860065051426601
sgfn,sgfn_official_full_l160:official_test:d7d40d4e-7a5d-2b36-97e7-34324c52ac42:1:13:1:close by,proximity,close by,True,-0.10652309757931921
open3dsg,open3dsg_ov:full_official_validation:8eabc45f-5af7-2f32-8528-640861d2a135_3:31:33:close by,proximity,close by,True,-2.2960086559043567e-05
open3dsg,open3dsg_ov:full_official_validation:5341b7b3-8a66-2cdd-856d-9d70e194568b_2:10:151:close by,proximity,close by,True,-0.2379471689405982
vlsat,vlsat_closed_set:full_official_validation:7272e16c-a01b-20f6-8961-a0927b4a7629:1:8:9:close by,proximity,close by,True,-0.01817395180540582
vlsat,vlsat_closed_set:full_official_validation:9766cbe5-6321-2e2f-8040-4e5b7a5d8ba1:1:27:44:close by,proximity,close by,True,-0.5224052832354837
sgfn,sgfn_official_full_l160:official_test:10b1793e-3938-2467-8b92-f56541e7ef9e:2:19:20:close by,proximity,close by,True,-0.38273136600271296
sgfn,sgfn_official_full_l160:official_test:7747a50c-9431-24e8-877d-e60c3a341cc2:7:36:3:close by,proximity,close by,True,-0.5299498807265282
open3dsg,open3dsg_ov:full_official_validation:0cac7676-8d6f-2d13-8f3a-d7bf7f03e721_1:1:20:close by,proximity,close by,True,-0.7763195772599507
sgfn,sgfn_official_full_l160:official_test:1d234026-e280-2b1a-8fe1-713e28269f4d:1:32:4:close by,proximity,close by,True,-0.3917101507098593
open3dsg,open3dsg_ov:full_official_validation:43b8cae1-6678-2e38-9865-c19c07c25015_3:19:18:close by,proximity,close by,True,-0.21962462846204123
sgfn,sgfn_official_full_l160:official_test:9af05c68-5794-2e19-8c5a-979f448da545:5:19:26:close by,proximity,close by,True,-0.8279519189993224
open3dsg,open3dsg_ov:full_official_validation:1d234022-e280-2b1a-8cec-e9787bb0d7b2_2:17:7:close by,proximity,close by,True,-0.4748918266952675
sgfn,sgfn_official_full_l160:official_test:0cac7676-8d6f-2d13-8f3a-d7bf7f03e721:4:35:17:close by,proximity,close by,True,-0.45844953188040705
vlsat,vlsat_closed_set:full_official_validation:38770ca5-86d7-27b8-871c-57fdbfe87905:1:13:61:close by,proximity,close by,True,-0.3681925490801615
vlsat,vlsat_closed_set:full_official_validation:4fbad32f-465b-2a5d-8408-146ab1d72808:3:41:15:close by,proximity,close by,True,-0.36943795529549806
vlsat,vlsat_closed_set:full_official_validation:10b17940-3938-2467-8a7a-958300ba83d3:1:4:3:close by,proximity,close by,True,-0.3440006453851008
open3dsg,open3dsg_ov:full_official_validation:0cac7676-8d6f-2d13-8f3a-d7bf7f03e721_1:22:1:close by,proximity,close by,True,-0.7331353042725908
sgfn,sgfn_official_full_l160:official_test:0cac761b-8d6f-2d13-8f16-23a7d73c54fe:2:12:6:close by,proximity,close by,True,-0.4152076044600125
sgfn,sgfn_official_full_l160:official_test:5341b7e3-8a66-2cdd-8709-66a2159f0017:3:16:9:close by,proximity,close by,True,-0.5160545171575621
vlsat,vlsat_closed_set:full_official_validation:ddc7379b-765b-241a-9f45-c37e41608726:2:6:9:close by,proximity,close by,True,-0.4007818136492745
sgfn,sgfn_official_full_l160:official_test:1d234024-e280-2b1a-8c28-2743fefed020:3:32:22:close by,proximity,close by,True,-0.5788573603593807
vlsat,vlsat_closed_set:full_official_validation:ddc73797-765b-241a-9e2c-097c5989baf6:2:20:11:close by,proximity,close by,True,-0.35003028972012595
vlsat,vlsat_closed_set:full_official_validation:38770ca1-86d7-27b8-8619-ab66f67d9adf:5:37:21:close by,proximity,close by,True,-0.45086475046030083
sgfn,sgfn_official_full_l160:official_test:742e8f17-be0a-294e-9dd3-52492d308e2b:2:19:9:close by,proximity,close by,True,-0.4579117797917793
vlsat,vlsat_closed_set:full_official_validation:9766cbf5-6321-2e2f-8131-78c4e204635d:3:46:47:close by,proximity,close by,True,-0.15988880963795327
open3dsg,open3dsg_ov:full_official_validation:0cac7584-8d6f-2d13-8df8-c05e4307b418_3:3:16:close by,proximity,close by,True,-0.0010371435354388698
open3dsg,open3dsg_ov:full_official_validation:4fbad32f-465b-2a5d-8408-146ab1d72808_1:27:28:close by,proximity,close by,True,-0.04897130472915767
open3dsg,open3dsg_ov:full_official_validation:38770ca5-86d7-27b8-871c-57fdbfe87905_3:5:32:close by,proximity,close by,True,-0.6731992148063828
vlsat,vlsat_closed_set:full_official_validation:c2d9933f-1947-2fbf-807f-c44bc1aed269:1:11:17:close by,proximity,close by,True,-0.11665035897563664
