source,audit,method,k,recall_all,recall_scope,violation,violation_ci_low,violation_ci_high,coverage,uncertainty,delta_violation,delta_violation_ci_low,delta_violation_ci_high,selected_scope,satisfied,uncertain,violated,unsupported
vlsat,point,source,5,0.41943605236656595,0.29267161410018555,0.013582342954159592,0.007272232753647078,0.021331058020477817,0.9632052330335241,0.13242784380305603,,,,1223,1006,156,16,45
vlsat,point,source,10,0.6321752265861027,0.5510204081632653,0.05698592516306213,0.046370716873793474,0.06938611513806,0.9661691542288557,0.15653964984552007,,,,3015,2291,456,166,102
vlsat,point,source,20,0.8074018126888217,0.7801484230055659,0.1045301744837522,0.09333063164767955,0.11687582605118407,0.961372730070791,0.1741635985272931,,,,6498,4506,1088,653,251
vlsat,point,source,50,0.9272406847935549,0.9243970315398887,0.2010897435897436,0.18882290808534546,0.213650827816986,0.9579367516119128,0.17237179487179488,,,,16285,9774,2689,3137,685
vlsat,point,source,100,0.9634944612286002,0.9550092764378478,0.29282238028792157,0.28301079003414165,0.30279937613125885,0.9546444004028721,0.14539019160739203,,,,30779,16507,4272,8604,1396
vlsat,point,relcompat3d,5,0.4209466263846928,0.29545454545454547,0.008488964346349746,0.00346605458372563,0.014583550094978756,0.9632052330335241,0.1230899830220713,-0.005093378607809847,-0.009444935471099007,-0.001656977622278377,1223,1023,145,10,45
vlsat,point,relcompat3d,10,0.6346928499496476,0.5556586270871985,0.04667124227865477,0.03714285887987626,0.05756745356361641,0.9665008291873963,0.15339739190116677,-0.010314682884407365,-0.015032491847537998,-0.006351174363824581,3015,2331,447,136,101
vlsat,point,relcompat3d,20,0.8091641490433031,0.7833951762523191,0.09245041586692258,0.08191994126115751,0.10380078384403756,0.9621421975992613,0.17338451695457455,-0.012079758616829611,-0.015563029110129654,-0.008942739531245813,6498,4590,1084,578,246
vlsat,point,relcompat3d,50,0.9272406847935549,0.9243970315398887,0.17740387691126608,0.16582150581378766,0.18906088217285336,0.9598403438747314,0.17414112980615443,-0.023685866678477524,-0.027112599185623736,-0.020554941237812627,16285,10136,2722,2773,654
vlsat,point,relcompat3d,100,0.9650050352467271,0.9577922077922078,0.24895674300254453,0.24000041314303328,0.25828288478309935,0.9576334513791871,0.1502629346904156,-0.04386563728537704,-0.04792588884866002,-0.040538551367475965,30779,17708,4429,7338,1304
vlsat,mesh,source,5,0.41943605236656595,0.29267161410018555,0.02190395956192081,0.012451235061277308,0.03290966661351966,0.9705641864268193,0.10530749789385004,,,,1223,1036,125,26,36
vlsat,mesh,source,10,0.6321752265861027,0.5510204081632653,0.05304585900068446,0.04148829944849109,0.06517029151644776,0.9691542288557214,0.14989733059548255,,,,3015,2329,438,155,93
vlsat,mesh,source,20,0.8074018126888217,0.7801484230055659,0.09459243898548413,0.08382725704600251,0.10656937875197861,0.9647583871960603,0.19189663423193493,,,,6498,4473,1203,593,229
vlsat,mesh,source,50,0.9272406847935549,0.9243970315398887,0.1950329642194201,0.1843598711114827,0.20653475024415674,0.9593490942585201,0.1908084234782052,,,,16285,9595,2981,3047,662
vlsat,mesh,source,100,0.9634944612286002,0.9550092764378478,0.294431783393993,0.2848141426471237,0.30445845803464244,0.9551642353552747,0.15636586278444844,,,,30779,16146,4597,8656,1380
vlsat,mesh,relcompat3d,5,0.4209466263846928,0.29545454545454547,0.011794439764111205,0.005674611015543881,0.019428149233698892,0.9705641864268193,0.10278011794439765,-0.010109519797809604,-0.018466307685297455,-0.0034439726785159097,1223,1051,122,14,36
vlsat,mesh,relcompat3d,10,0.6346928499496476,0.5556586270871985,0.04313591235878124,0.03316147166170239,0.05449561350666399,0.9688225538971807,0.14584046559397468,-0.009909946641903221,-0.014698051589697959,-0.006138040760616535,3015,2369,426,126,94
vlsat,mesh,relcompat3d,20,0.8091641490433031,0.7833951762523191,0.08273553323768532,0.07246082291320606,0.0948243615462609,0.9653739612188366,0.19145544396620437,-0.01185690574779881,-0.015445348421870451,-0.00864872983211316,6498,4553,1201,519,225
vlsat,mesh,relcompat3d,50,0.9272406847935549,0.9243970315398887,0.17190695296523517,0.16132491138585872,0.1830310948828335,0.9608842493091803,0.19254856850715746,-0.023126011254184925,-0.026470855714879612,-0.02010305101277711,16285,9945,3013,2690,637
vlsat,mesh,relcompat3d,100,0.9650050352467271,0.9577922077922078,0.25115285501152856,0.24250309576370363,0.2600917506483955,0.9581857760161149,0.16078936660789367,-0.04327892838246444,-0.04708892396197257,-0.040200409075860026,30779,17343,4742,7407,1287
vlsat,consensus,source,5,0.41943605236656595,0.29267161410018555,0.009345794392523364,0.004287524913761462,0.015748194721928416,0.9623875715453802,0.15632965165675447,,,,1223,982,184,11,46
vlsat,consensus,source,10,0.6321752265861027,0.5510204081632653,0.03614457831325301,0.027819964688262384,0.04637761451428402,0.9635157545605307,0.20654044750430292,,,,3015,2200,600,105,110
vlsat,consensus,source,20,0.8074018126888217,0.7801484230055659,0.07270101107366393,0.06417350029277517,0.08232511710432637,0.958910433979686,0.24875621890547264,,,,6498,4228,1550,453,267
vlsat,consensus,source,50,0.9272406847935549,0.9243970315398887,0.1642751431696802,0.15420759610537915,0.17473884118984173,0.9543137856923549,0.25139952384016473,,,,16285,9081,3907,2553,744
vlsat,consensus,source,100,0.9634944612286002,0.9550092764378478,0.26003281602515893,0.25067326396455336,0.26990590489783733,0.950453231099126,0.21610719901551925,,,,30779,15325,6322,7607,1525
vlsat,consensus,relcompat3d,5,0.4209466263846928,0.29545454545454547,0.004248088360237893,0.0008762338278416589,0.008497082882668669,0.9623875715453802,0.1469838572642311,-0.005097706032285471,-0.009455386864866648,-0.0016651854188020532,1223,999,173,5,46
vlsat,consensus,relcompat3d,10,0.6346928499496476,0.5556586270871985,0.027873365450791467,0.02057971520312718,0.036268052539132734,0.9638474295190713,0.2002752924982794,-0.008271212862461543,-0.012671543087899048,-0.004601780352103879,3015,2243,582,81,109
vlsat,consensus,relcompat3d,20,0.8091641490433031,0.7833951762523191,0.061738293778062864,0.054136336823806225,0.07087658662138596,0.9596799015081564,0.24759461193072482,-0.010962717295601068,-0.014332551355703906,-0.007814394510382306,6498,4307,1544,385,262
vlsat,consensus,relcompat3d,50,0.9272406847935549,0.9243970315398887,0.14048047276464543,0.13135226487085314,0.1504609217708973,0.9559717531470678,0.2541109969167523,-0.023794670405034773,-0.02732725666501597,-0.020696109297645822,16285,9425,3956,2187,717
vlsat,consensus,relcompat3d,100,0.9650050352467271,0.9577922077922078,0.21571433438958737,0.20720437179864437,0.2246247946603886,0.9535397511290166,0.22283553102320353,-0.04431848163557156,-0.048353071519977,-0.04101118625026113,30779,16478,6540,6331,1430
open3dsg,point,source,5,0.03423967774420947,0.00463821892393321,0.8317929759704251,0.8110541407274241,0.8518562153105037,0.9912963811268896,0.020794824399260628,,,,2183,319,45,1800,19
open3dsg,point,source,10,0.0986908358509567,0.03200371057513915,0.6595863610955841,0.6387198975278903,0.6794093242058632,0.989217583632845,0.0368921185019564,,,,3617,1086,132,2360,39
open3dsg,point,source,20,0.19889224572004027,0.11456400742115028,0.5529375290652612,0.5342472800004942,0.5715836358347032,0.985035883340968,0.07161680359634165,,,,6549,2422,462,3567,98
open3dsg,point,source,50,0.4043303121852971,0.22634508348794063,0.4776369289643626,0.459134534234175,0.4964975788815995,0.97969225962665,0.09248186239336682,,,,12803,5392,1160,5991,260
open3dsg,point,source,100,0.5110775427995972,0.34137291280148424,0.4264670272015498,0.4150917348056236,0.43682609350316143,0.9797548438117833,0.09593187505044798,,,,25290,11834,2377,10567,512
open3dsg,point,relcompat3d,5,0.03700906344410876,0.00974025974025974,0.17160037002775208,0.15090911015155362,0.1954192310694117,0.9903802107191938,0.033765032377428304,-0.660192605942673,-0.6835100286296157,-0.6330064482683125,2183,1718,73,371,21
open3dsg,point,relcompat3d,10,0.11782477341389729,0.06725417439703155,0.1364271736091697,0.12245037717159402,0.15177575652236538,0.9889411114183024,0.04417109309477216,-0.5231591874864144,-0.5426114354900324,-0.5028192505243491,3617,2931,158,488,40
open3dsg,point,relcompat3d,20,0.24672708962739173,0.20269016697588127,0.09796044499381953,0.08910305011347308,0.10762721649046048,0.9882424797679035,0.07509270704573548,-0.45497708407144166,-0.47349325483888616,-0.4360185187358031,6549,5352,486,634,77
open3dsg,point,relcompat3d,50,0.46701913393756295,0.34183673469387754,0.10019023462270134,0.09316513857457205,0.10728711854877347,0.9853940482699367,0.09123335447051363,-0.3774466943416613,-0.3947265475956214,-0.3599071536060393,12803,10201,1151,1264,187
