source,audit,method,k,recall_all,recall_scope,violation,violation_ci_low,violation_ci_high,coverage,uncertainty,delta_violation,delta_violation_ci_low,delta_violation_ci_high,selected_scope,satisfied,uncertain,violated,unsupported
vlsat,point,source,5,0.41943605236656595,0.29267161410018555,0.013582342954159592,0.007272232753647078,0.021331058020477817,0.9632052330335241,0.13242784380305603,,,,1223,1006,156,16,45
vlsat,point,source,10,0.6321752265861027,0.5510204081632653,0.05698592516306213,0.046370716873793474,0.06938611513806,0.9661691542288557,0.15653964984552007,,,,3015,2291,456,166,102
vlsat,point,source,20,0.8074018126888217,0.7801484230055659,0.1045301744837522,0.09333063164767955,0.11687582605118407,0.961372730070791,0.1741635985272931,,,,6498,4506,1088,653,251
vlsat,point,source,50,0.9272406847935549,0.9243970315398887,0.2010897435897436,0.18882290808534546,0.213650827816986,0.9579367516119128,0.17237179487179488,,,,16285,9774,2689,3137,685
vlsat,point,source,100,0.9634944612286002,0.9550092764378478,0.29282238028792157,0.28301079003414165,0.30279937613125885,0.9546444004028721,0.14539019160739203,,,,30779,16507,4272,8604,1396
vlsat,point,relcompat3d,5,0.4206948640483384,0.2949907235621521,0.00933786078098472,0.004233342979738975,0.01602187495761543,0.9632052330335241,0.1264855687606112,-0.004244482173174873,-0.008333855472013369,-0.0008598267603927508,1223,1018,149,11,45
vlsat,point,relcompat3d,10,0.6339375629405841,0.5542671614100185,0.05111492281303602,0.0407914709044391,0.0631158400253232,0.966832504145937,0.1554030874785592,-0.005871002350026112,-0.009896344189782068,-0.0026381747855244685,3015,2313,453,149,100
vlsat,point,relcompat3d,20,0.8081570996978852,0.7815398886827458,0.09465086483023703,0.08354005770640995,0.10634567901234568,0.9609110495537089,0.17424727738629084,-0.009879309653515161,-0.01296614958098405,-0.007099880020398937,6498,4565,1088,591,254
vlsat,point,relcompat3d,50,0.9277442094662638,0.9253246753246753,0.18109025687015565,0.169546554629892,0.19280884393728878,0.9586122198342033,0.1758375504451989,-0.019999486719587956,-0.02301350059762443,-0.01718807530132299,16285,10039,2745,2827,674
vlsat,point,relcompat3d,100,0.9657603222557906,0.9591836734693877,0.24887046913748004,0.23997541794567073,0.25826639640847415,0.9563988433672309,0.15147603356320277,-0.04395191115044153,-0.0480095917717562,-0.04059328992609475,30779,17652,4459,7326,1342
vlsat,mesh,source,5,0.41943605236656595,0.29267161410018555,0.02190395956192081,0.012451235061277308,0.03290966661351966,0.9705641864268193,0.10530749789385004,,,,1223,1036,125,26,36
vlsat,mesh,source,10,0.6321752265861027,0.5510204081632653,0.05304585900068446,0.04148829944849109,0.06517029151644776,0.9691542288557214,0.14989733059548255,,,,3015,2329,438,155,93
vlsat,mesh,source,20,0.8074018126888217,0.7801484230055659,0.09459243898548413,0.08382725704600251,0.10656937875197861,0.9647583871960603,0.19189663423193493,,,,6498,4473,1203,593,229
vlsat,mesh,source,50,0.9272406847935549,0.9243970315398887,0.1950329642194201,0.1843598711114827,0.20653475024415674,0.9593490942585201,0.1908084234782052,,,,16285,9595,2981,3047,662
vlsat,mesh,source,100,0.9634944612286002,0.9550092764378478,0.294431783393993,0.2848141426471237,0.30445845803464244,0.9551642353552747,0.15636586278444844,,,,30779,16146,4597,8656,1380
vlsat,mesh,relcompat3d,5,0.4206948640483384,0.2949907235621521,0.014321819713563605,0.0075641059839873185,0.022691950090847145,0.9705641864268193,0.10278011794439765,-0.007582139848357204,-0.013655406296719724,-0.002574668232659737,1223,1048,122,17,36
vlsat,mesh,relcompat3d,10,0.6339375629405841,0.5542671614100185,0.046527540198426275,0.03610700187780781,0.058158778333727804,0.969485903814262,0.1498460485802258,-0.006518318802258186,-0.010466149679588104,-0.0033981509341048577,3015,2349,438,136,92
vlsat,mesh,relcompat3d,20,0.8081570996978852,0.7815398886827458,0.0855273655656614,0.07525281246900772,0.09706853459143992,0.9644506001846722,0.19147917663954045,-0.009065073419822725,-0.012065456551852125,-0.006444249994324112,6498,4531,1200,536,231
vlsat,mesh,relcompat3d,50,0.9277442094662638,0.9253246753246753,0.17511992324912057,0.164514883078693,0.18636359391075208,0.960085968682837,0.19443556124080588,-0.019913040970299528,-0.022792297219533998,-0.017294785977014424,16285,9857,3040,2738,650
vlsat,mesh,relcompat3d,100,0.9657603222557906,0.9591836734693877,0.2509166214014123,0.24217799391526026,0.259997037346293,0.9570161473732091,0.1625135795763172,-0.04351516199258071,-0.04726302786220111,-0.040220796472503394,30779,17278,4787,7391,1323
vlsat,consensus,source,5,0.41943605236656595,0.29267161410018555,0.009345794392523364,0.004287524913761462,0.015748194721928416,0.9623875715453802,0.15632965165675447,,,,1223,982,184,11,46
vlsat,consensus,source,10,0.6321752265861027,0.5510204081632653,0.03614457831325301,0.027819964688262384,0.04637761451428402,0.9635157545605307,0.20654044750430292,,,,3015,2200,600,105,110
vlsat,consensus,source,20,0.8074018126888217,0.7801484230055659,0.07270101107366393,0.06417350029277517,0.08232511710432637,0.958910433979686,0.24875621890547264,,,,6498,4228,1550,453,267
vlsat,consensus,source,50,0.9272406847935549,0.9243970315398887,0.1642751431696802,0.15420759610537915,0.17473884118984173,0.9543137856923549,0.25139952384016473,,,,16285,9081,3907,2553,744
vlsat,consensus,source,100,0.9634944612286002,0.9550092764378478,0.26003281602515893,0.25067326396455336,0.26990590489783733,0.950453231099126,0.21610719901551925,,,,30779,15325,6322,7607,1525
vlsat,consensus,relcompat3d,5,0.4206948640483384,0.2949907235621521,0.005097706032285472,0.001620419830421029,0.009840957140111472,0.9623875715453802,0.14953271028037382,-0.004248088360237892,-0.00833403010033445,-0.0008612709448839873,1223,995,176,6,46
vlsat,consensus,relcompat3d,10,0.6339375629405841,0.5542671614100185,0.03061575507395941,0.022594601919034275,0.03924763963963111,0.9641791044776119,0.20536635706914344,-0.005528823239293601,-0.00936279935066011,-0.0024611233499651154,3015,2221,597,89,108
vlsat,consensus,relcompat3d,20,0.8081570996978852,0.7815398886827458,0.06358381502890173,0.05578006592543751,0.07271319454147455,0.9584487534626038,0.24823378291586384,-0.009117196044762202,-0.012237483318576575,-0.006386161585191503,6498,4286,1546,396,270
vlsat,consensus,relcompat3d,50,0.9277442094662638,0.9253246753246753,0.14338069825757088,0.13373846001696374,0.15321709211650514,0.9550506601166718,0.2566707387642255,-0.020894444912109317,-0.024071650731734718,-0.017978674437083023,16285,9331,3992,2230,732
vlsat,consensus,relcompat3d,100,0.9657603222557906,0.9591836734693877,0.21497048889495413,0.2065893215051778,0.2238669496951104,0.9523051431170604,0.22530790488212615,-0.045062327130204805,-0.04897912914747931,-0.0417483147204332,30779,16406,6604,6301,1468
open3dsg,point,source,5,0.03423967774420947,0.00463821892393321,0.8317929759704251,0.8110541407274241,0.8518562153105037,0.9912963811268896,0.020794824399260628,,,,2183,319,45,1800,19
open3dsg,point,source,10,0.0986908358509567,0.03200371057513915,0.6595863610955841,0.6387198975278903,0.6794093242058632,0.989217583632845,0.0368921185019564,,,,3617,1086,132,2360,39
open3dsg,point,source,20,0.19889224572004027,0.11456400742115028,0.5529375290652612,0.5342472800004942,0.5715836358347032,0.985035883340968,0.07161680359634165,,,,6549,2422,462,3567,98
open3dsg,point,source,50,0.4043303121852971,0.22634508348794063,0.4776369289643626,0.459134534234175,0.4964975788815995,0.97969225962665,0.09248186239336682,,,,12803,5392,1160,5991,260
open3dsg,point,source,100,0.5110775427995972,0.34137291280148424,0.4264670272015498,0.4150917348056236,0.43682609350316143,0.9797548438117833,0.09593187505044798,,,,25290,11834,2377,10567,512
open3dsg,point,relcompat3d,5,0.03726082578046324,0.01020408163265306,0.014821676702176934,0.00954511974161021,0.021032767183484683,0.98900595510765,0.021306160259379342,-0.8169712992682482,-0.836591165774467,-0.795666271936344,2183,2081,46,32,24
open3dsg,point,relcompat3d,10,0.11379657603222558,0.05983302411873841,0.02181208053691275,0.016118367375367152,0.028761613625645305,0.98866463920376,0.03691275167785235,-0.6377742805586714,-0.6581889481189678,-0.6157633066645363,3617,3366,132,78,41
open3dsg,point,relcompat3d,20,0.23615307150050352,0.18320964749536178,0.03892493049119555,0.03401102367198453,0.04376343950072352,0.9885478699038021,0.08464627741736175,-0.5140125985740656,-0.5318081541027618,-0.49548896040647533,6549,5674,548,252,75
open3dsg,point,relcompat3d,50,0.4418429003021148,0.29545454545454547,0.06284218043323019,0.05628038179341591,0.06970042928894175,0.9843786612512693,0.10315004364040307,-0.4147947485311324,-0.4310895897455193,-0.39728465551263126,12803,10511,1300,792,200
