predictor,ranking_rule,R@5,V@5,R@10,V@10,R@20,V@20,R@50,V@50,R@100,V@100
Open3DSG,Source,3.4239677744209467,52.045028142589125,9.86908358509567,32.889305816135085,19.88922457200403,20.994371482176362,40.433031218529706,13.872203033488512,51.107754279959714,12.415160527720582
Open3DSG,RelCompat3D-Linear,3.726082578046324,0.9380863039399625,11.379657603222558,2.3264540337711073,23.615307150050352,3.1332082551594747,44.18429003021148,3.423937528157381,56.84793554884189,3.239151986578205
Open3DSG,RelCompat3D-MLP,3.7009063444108756,4.953095684803002,11.782477341389729,4.971857410881801,24.672708962739172,4.559099437148218,46.70191339375629,4.1297492115933325,59.89425981873112,3.713871730343934
Open3DSG,RankAvg,3.7764350453172204,1.125703564727955,11.052366565961732,2.5140712945590993,22.356495468277945,3.5459662288930582,43.202416918429,4.6027932121940225,54.003021148036254,5.494547395714177
Open3DSG,RRF,3.575025176233636,19.587242026266416,10.67472306143001,16.47279549718574,21.576032225579052,13.602251407129456,42.44712990936556,9.60354407568704,54.68277945619335,7.799511934721269
Open3DSG,Product (all families),9.944612286002014,3.977485928705441,19.637462235649547,4.5403377110694185,32.804632426988924,4.371482176360225,46.42497482376636,2.691845622465836,60.0453172205438,3.313505681384885
VL-SAT,Source,41.943605236656595,0.291970802919708,63.21752265861027,0.8211678832116789,80.74018126888217,1.4233576642335766,92.7240684793555,2.6751824817518246,96.34944612286002,4.764598540145985
VL-SAT,RelCompat3D-Linear,42.06948640483384,0.145985401459854,63.39375629405841,0.5656934306569343,80.81570996978851,1.1405109489051095,92.77442094662638,1.9744525547445255,96.57603222557906,2.948905109489051
VL-SAT,RelCompat3D-MLP,42.09466263846928,0.145985401459854,63.46928499496476,0.5109489051094891,80.91641490433031,1.094890510948905,92.7240684793555,1.8868613138686132,96.50050352467271,2.963503649635036
VL-SAT,RankAvg,35.32225579053374,0.145985401459854,51.73716012084593,0.4744525547445255,69.41087613293051,0.9945255474452556,90.23162134944613,1.6240875912408759,97.05438066465257,2.2554744525547443
VL-SAT,RRF,36.80765357502518,0.145985401459854,55.66465256797583,0.5109489051094891,75.07552870090635,1.0675182481751824,91.71701913393755,1.8175182481751824,97.05438066465257,2.496350364963504
VL-SAT,Product (all families),41.74219536757301,0.10948905109489052,63.318227593152066,0.4927007299270073,80.94159113796576,1.104014598540146,92.92547834843907,2.0291970802919708,96.87814702920443,3.2481751824817517
SGFN,Source,31.16817724068479,2.3722627737226274,39.75327291037261,3.4854014598540144,49.11883182275932,3.220802919708029,74.01812688821752,3.846715328467153,92.34642497482378,6.297445255474453
SGFN,RelCompat3D-Linear,31.16817724068479,2.3722627737226274,39.75327291037261,3.4671532846715327,49.14400805639476,2.9744525547445257,74.49647532729104,2.6313868613138687,93.02618328298087,3.5018248175182483
SGFN,RelCompat3D-MLP,31.16817724068479,2.3722627737226274,39.75327291037261,3.4671532846715327,49.19436052366566,2.9562043795620436,74.57200402819738,2.5766423357664237,92.87512588116817,3.5036496350364965
SGFN,RankAvg,31.092648539778452,2.3722627737226274,38.79657603222558,3.4671532846715327,46.626384692849946,2.947080291970803,70.21651560926485,2.354014598540146,92.7240684793555,2.6040145985401457
SGFN,RRF,31.14300100704935,2.3722627737226274,38.94763343403827,3.4671532846715327,47.07955689828802,2.9744525547445257,68.50453172205438,2.5437956204379564,87.99093655589124,3.0675182481751824
SGFN,Product (all families),31.067472306143003,2.4817518248175183,40.55891238670695,3.1934306569343067,51.18328298086606,2.7554744525547443,77.0392749244713,2.5802919708029197,94.13393756294059,3.7135036496350367
