predictor,condition,R@50,V@50,R@100,V@100
Open3DSG,RelCompat3D-Linear,44.18429003021148,3.423937528157381,56.84793554884189,3.239151986578205
Open3DSG,RelCompat3D-MLP,46.70191339375629,4.1297492115933325,59.89425981873112,3.713871730343934
Open3DSG,Wrong predicate,42.64853977844915,21.981528758071782,53.47432024169184,20.9601159155037
Open3DSG,Wrong pair,38.51963746223565,8.49602042348701,49.320241691842895,8.35621139327385
Open3DSG,Shuffled geometry,38.418932527693855,12.929869349752215,48.79154078549849,12.418973537710668
Open3DSG,Fixed-predicate swap,42.6737160120846,21.981528758071782,53.625377643504535,20.9601159155037
Open3DSG,Distance only,51.15810674723061,8.236972518396156,63.21752265861027,9.553496530160908
Open3DSG,Compatibility only,42.220543806646525,3.423937528157381,56.87311178247734,3.241058491573248
VL-SAT,RelCompat3D-Linear,92.77442094662638,1.9744525547445255,96.57603222557906,2.948905109489051
VL-SAT,RelCompat3D-MLP,92.7240684793555,1.8868613138686132,96.50050352467271,2.963503649635036
VL-SAT,Wrong predicate,90.45820745216515,4.974452554744525,94.78851963746223,7.952554744525547
VL-SAT,Wrong pair,90.55891238670695,2.6094890510948905,94.96475327291037,4.728102189781022
VL-SAT,Shuffled geometry,89.1742195367573,3.0547445255474455,94.10876132930514,5.598540145985401
VL-SAT,Fixed-predicate swap,90.45820745216515,4.974452554744525,94.81369587109768,7.950729927007299
VL-SAT,Distance only,81.89828801611279,5.339416058394161,89.8036253776435,8.093065693430656
VL-SAT,Compatibility only,67.64853977844915,1.6058394160583942,83.88721047331319,2.031021897810219
SGFN,RelCompat3D-Linear,74.49647532729104,2.6313868613138687,93.02618328298087,3.5018248175182483
SGFN,RelCompat3D-MLP,74.57200402819738,2.5766423357664237,92.87512588116817,3.5036496350364965
SGFN,Wrong predicate,71.57603222557906,9.416058394160585,89.92950654582074,12.985401459854016
SGFN,Wrong pair,71.5508559919436,3.9890510948905114,88.06646525679758,6.647810218978102
SGFN,Shuffled geometry,70.59415911379658,4.733576642335766,86.83282980866063,8.364963503649635
SGFN,Fixed-predicate swap,71.57603222557906,9.416058394160585,90.03021148036254,12.983576642335768
SGFN,Distance only,63.19234642497482,10.003649635036496,84.06344410876133,12.660583941605841
SGFN,Compatibility only,52.794561933534744,2.324817518248175,70.64451158106748,2.2974452554744524
