source,method,k,promoted,demoted
vlsat,source,5,0,0
vlsat,source,10,0,0
vlsat,source,20,0,0
vlsat,source,50,0,0
vlsat,source,100,0,0
vlsat,identity_family_slots,5,0,0
vlsat,identity_family_slots,10,0,0
vlsat,identity_family_slots,20,0,0
vlsat,identity_family_slots,50,0,0
vlsat,identity_family_slots,100,0,0
vlsat,linear_family_slots,5,19,19
vlsat,linear_family_slots,10,40,40
vlsat,linear_family_slots,20,88,88
vlsat,linear_family_slots,50,461,461
vlsat,linear_family_slots,100,1826,1826
vlsat,linear_pv_global,5,24,24
vlsat,linear_pv_global,10,52,52
vlsat,linear_pv_global,20,109,109
vlsat,linear_pv_global,50,546,546
vlsat,linear_pv_global,100,2002,2002
vlsat,linear_support_order_only,5,35,35
vlsat,linear_support_order_only,10,65,65
vlsat,linear_support_order_only,20,140,140
vlsat,linear_support_order_only,50,649,649
vlsat,linear_support_order_only,100,2322,2322
vlsat,linear_all_families,5,188,188
vlsat,linear_all_families,10,241,241
vlsat,linear_all_families,20,554,554
vlsat,linear_all_families,50,2137,2137
vlsat,linear_all_families,100,6145,6145
vlsat,mlp_family_slots,5,29,29
vlsat,mlp_family_slots,10,68,68
vlsat,mlp_family_slots,20,136,136
vlsat,mlp_family_slots,50,622,622
vlsat,mlp_family_slots,100,1995,1995
vlsat,mlp_pv_global,5,39,39
vlsat,mlp_pv_global,10,95,95
vlsat,mlp_pv_global,20,180,180
vlsat,mlp_pv_global,50,737,737
vlsat,mlp_pv_global,100,2183,2183
vlsat,mlp_support_order_only,5,60,60
vlsat,mlp_support_order_only,10,118,118
vlsat,mlp_support_order_only,20,234,234
vlsat,mlp_support_order_only,50,881,881
vlsat,mlp_support_order_only,100,2628,2628
vlsat,mlp_all_families,5,199,199
vlsat,mlp_all_families,10,277,277
vlsat,mlp_all_families,20,609,609
vlsat,mlp_all_families,50,2281,2281
vlsat,mlp_all_families,100,6228,6228
open3dsg,source,5,0,0
open3dsg,source,10,0,0
open3dsg,source,20,0,0
open3dsg,source,50,0,0
open3dsg,source,100,0,0
open3dsg,identity_family_slots,5,0,0
open3dsg,identity_family_slots,10,0,0
open3dsg,identity_family_slots,20,0,0
open3dsg,identity_family_slots,50,0,0
open3dsg,identity_family_slots,100,0,0
open3dsg,linear_family_slots,5,1867,1867
open3dsg,linear_family_slots,10,2480,2480
open3dsg,linear_family_slots,20,3716,3716
open3dsg,linear_family_slots,50,6029,6029
open3dsg,linear_family_slots,100,9613,9613
open3dsg,linear_pv_global,5,1871,1871
open3dsg,linear_pv_global,10,2450,2450
open3dsg,linear_pv_global,20,3718,3718
open3dsg,linear_pv_global,50,6163,6163
open3dsg,linear_pv_global,100,9927,9927
open3dsg,linear_support_order_only,5,1906,1906
open3dsg,linear_support_order_only,10,2547,2547
open3dsg,linear_support_order_only,20,3988,3988
open3dsg,linear_support_order_only,50,6848,6848
open3dsg,linear_support_order_only,100,11358,11358
open3dsg,linear_all_families,5,2115,2115
open3dsg,linear_all_families,10,3320,3320
open3dsg,linear_all_families,20,5901,5901
open3dsg,linear_all_families,50,13772,13772
open3dsg,linear_all_families,100,24142,24142
open3dsg,mlp_family_slots,5,1549,1549
open3dsg,mlp_family_slots,10,2145,2145
open3dsg,mlp_family_slots,20,3591,3591
open3dsg,mlp_family_slots,50,6047,6047
open3dsg,mlp_family_slots,100,9402,9402
open3dsg,mlp_pv_global,5,1573,1573
open3dsg,mlp_pv_global,10,2162,2162
open3dsg,mlp_pv_global,20,3721,3721
open3dsg,mlp_pv_global,50,6535,6535
open3dsg,mlp_pv_global,100,10764,10764
open3dsg,mlp_support_order_only,5,1685,1685
open3dsg,mlp_support_order_only,10,2311,2311
open3dsg,mlp_support_order_only,20,3953,3953
open3dsg,mlp_support_order_only,50,6960,6960
open3dsg,mlp_support_order_only,100,11876,11876
open3dsg,mlp_all_families,5,1850,1850
open3dsg,mlp_all_families,10,3041,3041
open3dsg,mlp_all_families,20,6011,6011
open3dsg,mlp_all_families,50,15154,15154
open3dsg,mlp_all_families,100,26245,26245
sgfn,source,5,0,0
sgfn,source,10,0,0
sgfn,source,20,0,0
sgfn,source,50,0,0
sgfn,source,100,0,0
sgfn,identity_family_slots,5,0,0
sgfn,identity_family_slots,10,0,0
sgfn,identity_family_slots,20,0,0
sgfn,identity_family_slots,50,0,0
sgfn,identity_family_slots,100,0,0
sgfn,linear_family_slots,5,0,0
sgfn,linear_family_slots,10,10,10
sgfn,linear_family_slots,20,61,61
sgfn,linear_family_slots,50,561,561
sgfn,linear_family_slots,100,2276,2276
sgfn,linear_pv_global,5,0,0
sgfn,linear_pv_global,10,10,10
sgfn,linear_pv_global,20,65,65
sgfn,linear_pv_global,50,586,586
sgfn,linear_pv_global,100,2371,2371
sgfn,linear_support_order_only,5,2,2
sgfn,linear_support_order_only,10,20,20
sgfn,linear_support_order_only,20,79,79
sgfn,linear_support_order_only,50,639,639
sgfn,linear_support_order_only,100,2696,2696
sgfn,linear_all_families,5,294,294
sgfn,linear_all_families,10,619,619
sgfn,linear_all_families,20,1157,1157
sgfn,linear_all_families,50,2810,2810
sgfn,linear_all_families,100,6682,6682
sgfn,mlp_family_slots,5,1,1
sgfn,mlp_family_slots,10,13,13
sgfn,mlp_family_slots,20,116,116
sgfn,mlp_family_slots,50,814,814
sgfn,mlp_family_slots,100,2704,2704
sgfn,mlp_pv_global,5,1,1
sgfn,mlp_pv_global,10,14,14
sgfn,mlp_pv_global,20,120,120
