source,method,k,recall,recall_delta,recall_delta_ci_low,recall_delta_ci_high,violation,violation_delta,violation_delta_ci_low,violation_delta_ci_high
vlsat,source,5,0.41943605236656595,,,,0.00291970802919708,,,
vlsat,source,10,0.6321752265861027,,,,0.008211678832116789,,,
vlsat,source,20,0.8074018126888217,,,,0.014233576642335766,,,
vlsat,source,50,0.9272406847935549,,,,0.026751824817518248,,,
vlsat,source,100,0.9634944612286002,,,,0.04764598540145985,,,
vlsat,identity_family_slots,5,0.41943605236656595,0.0,0.0,0.0,0.00291970802919708,0.0,0.0,0.0
vlsat,identity_family_slots,10,0.6321752265861027,0.0,0.0,0.0,0.008211678832116789,0.0,0.0,0.0
vlsat,identity_family_slots,20,0.8074018126888217,0.0,0.0,0.0,0.014233576642335766,0.0,0.0,0.0
vlsat,identity_family_slots,50,0.9272406847935549,0.0,0.0,0.0,0.026751824817518248,0.0,0.0,0.0
vlsat,identity_family_slots,100,0.9634944612286002,0.0,0.0,0.0,0.04764598540145985,0.0,0.0,0.0
vlsat,linear_family_slots,5,0.4206948640483384,0.0012588116817724426,0.0,0.0026413974116138756,0.00145985401459854,-0.00145985401459854,-0.0029859194593072373,-0.0003424219971529252
vlsat,linear_family_slots,10,0.6339375629405841,0.0017623363544814197,0.0005046522826060191,0.0035053436795994234,0.0056569343065693434,-0.0025547445255474453,-0.004514249213836478,-0.0009325776560004409
vlsat,linear_family_slots,20,0.8081570996978852,0.0007552870090634656,-0.0002568152491646325,0.0019209956424520696,0.011405109489051095,-0.002828467153284671,-0.004332317280839179,-0.0015843925074611233
vlsat,linear_family_slots,50,0.9277442094662638,0.000503524672708866,-0.0005222651861366389,0.0017859547319825529,0.019744525547445255,-0.007007299270072993,-0.008759383420410128,-0.005499990429980958
vlsat,linear_family_slots,100,0.9657603222557906,0.0022658610271903967,0.0002705209384591567,0.004625680025367129,0.02948905109489051,-0.018156934306569342,-0.019962126562232497,-0.016545292291262906
vlsat,linear_pv_global,5,0.4204431017119839,0.001007049345417954,-0.00027121107345785546,0.002502516217273129,0.00145985401459854,-0.00145985401459854,-0.0029859194593072373,-0.0003424219971529252
vlsat,linear_pv_global,10,0.6341893252769386,0.002014098690835908,0.00048608607280788976,0.003730863771098677,0.005474452554744526,-0.002737226277372263,-0.004842198168839231,-0.0010810810810810813
vlsat,linear_pv_global,20,0.8084088620342397,0.001007049345417954,-0.00022761534236470093,0.0023361009946612273,0.01113138686131387,-0.0031021897810218965,-0.004603003597787114,-0.0018737950675065326
vlsat,linear_pv_global,50,0.9272406847935549,0.0,-0.0007716846495255086,0.0007384573895858587,0.019489051094890512,-0.007262773722627736,-0.009158921140596219,-0.005699105407706021
vlsat,linear_pv_global,100,0.966012084592145,0.0025176233635448853,0.0005832842764895929,0.004657005593648486,0.02936131386861314,-0.018284671532846714,-0.020165170613700024,-0.016583465653867396
vlsat,linear_support_order_only,5,0.4206948640483384,0.0012588116817724426,-0.0004835274280432192,0.003142546922422236,0.00145985401459854,-0.00145985401459854,-0.0029859194593072373,-0.0003424219971529252
vlsat,linear_support_order_only,10,0.6341893252769386,0.002014098690835908,0.0004905327644796342,0.0037913407339413853,0.0056569343065693434,-0.0025547445255474453,-0.004554769536654142,-0.0007899080762648981
vlsat,linear_support_order_only,20,0.8091641490433031,0.0017623363544814197,0.0002388753116214948,0.0034603448058983955,0.011222627737226277,-0.0030109489051094885,-0.004726054044018363,-0.0016181060779893925
vlsat,linear_support_order_only,50,0.9290030211480362,0.0017623363544813087,0.00026016465216357196,0.003425831601537579,0.01981751824817518,-0.006934306569343067,-0.008795658113721844,-0.005393574849549029
vlsat,linear_support_order_only,100,0.9657603222557906,0.0022658610271903967,0.0002650358170453837,0.004731422766821258,0.02863138686131387,-0.019014598540145984,-0.021052702193767064,-0.017251882164686132
vlsat,linear_all_families,5,0.4174219536757301,-0.0020140986908358527,-0.005999295435915113,0.001998941821859422,0.0010948905109489052,-0.001824817518248175,-0.003724917875002615,0.0
vlsat,linear_all_families,10,0.6331822759315207,0.001007049345417954,-0.0025172231157022606,0.004285035680204979,0.004927007299270073,-0.003284671532846716,-0.00545234962406015,-0.0012814183123877922
vlsat,linear_all_families,20,0.8094159113796576,0.002014098690835908,-0.000999325674874338,0.004963453955493964,0.01104014598540146,-0.003193430656934306,-0.005000868055555556,-0.001591464433398772
vlsat,linear_all_families,50,0.9292547834843907,0.002014098690835797,-0.0007634277902892117,0.004711315364034554,0.02029197080291971,-0.006459854014598539,-0.008395082796106684,-0.004770598057073468
vlsat,linear_all_families,100,0.9687814702920443,0.005287009063444148,0.0002703209196494888,0.01128389631294174,0.032481751824817516,-0.015164233576642337,-0.0171141442324611,-0.013417895536005872
vlsat,mlp_family_slots,5,0.4209466263846928,0.0015105740181268756,0.0,0.0032773256931026822,0.00145985401459854,-0.00145985401459854,-0.0029859194593072373,-0.0003424219971529252
vlsat,mlp_family_slots,10,0.6346928499496476,0.0025176233635448853,0.0007367760427136827,0.004636123788799751,0.0051094890510948905,-0.003102189781021898,-0.005254557740970784,-0.001144714100532911
vlsat,mlp_family_slots,20,0.8091641490433031,0.0017623363544814197,0.0005134656494984069,0.003357611796964521,0.010948905109489052,-0.003284671532846714,-0.00486643332432615,-0.001972684646699622
vlsat,mlp_family_slots,50,0.9272406847935549,0.0,-0.0010153514137722169,0.001012466145964297,0.01886861313868613,-0.007883211678832117,-0.009839914907678961,-0.006200525882836831
vlsat,mlp_family_slots,100,0.9650050352467271,0.0015105740181269312,-0.0007785033547205777,0.0039439053061912305,0.029635036496350364,-0.01801094890510949,-0.01991022282844865,-0.01632376829954955
vlsat,mlp_pv_global,5,0.4211983887210473,0.0017623363544813642,-0.00027218611902233983,0.004069940638909606,0.00145985401459854,-0.00145985401459854,-0.0029859194593072373,-0.0003424219971529252
vlsat,mlp_pv_global,10,0.6341893252769386,0.002014098690835908,0.00023996500576745628,0.0037813843799315017,0.004927007299270073,-0.003284671532846716,-0.005586819071052579,-0.0012487671526586635
vlsat,mlp_pv_global,20,0.8096676737160121,0.0022658610271903967,0.0005334118653214121,0.003943577768699513,0.010583941605839416,-0.0036496350364963494,-0.005340872160014182,-0.0022508668598299557
vlsat,mlp_pv_global,50,0.9277442094662638,0.000503524672708866,-0.0004896896789304799,0.0015418930795117079,0.018613138686131386,-0.008138686131386862,-0.010208060169730119,-0.0063500757847712525
vlsat,mlp_pv_global,100,0.9652567975830816,0.0017623363544814197,-0.0005444216042561234,0.0041962263086298135,0.02927007299270073,-0.018375912408759125,-0.02036558202357564,-0.016624488453165047
vlsat,mlp_support_order_only,5,0.4219536757301108,0.0025176233635448297,0.0002697804112930927,0.004846313307962111,0.00145985401459854,-0.00145985401459854,-0.0029859194593072373,-0.0003424219971529252
vlsat,mlp_support_order_only,10,0.6351963746223565,0.0030211480362537513,0.0010506213301204243,0.005221821510390453,0.0051094890510948905,-0.003102189781021898,-0.005714285714285714,-0.0008769645467836261
vlsat,mlp_support_order_only,20,0.8109264853977844,0.0035246727089627283,0.0015667029395548342,0.0054546695342872955,0.010766423357664234,-0.0034671532846715317,-0.0052448386537127,-0.00188679245283019
vlsat,mlp_support_order_only,50,0.9297583081570997,0.0025176233635447742,0.0007124006687674351,0.0045747644267143135,0.018941605839416058,-0.00781021897810219,-0.009823029298918729,-0.006040612906129064
vlsat,mlp_support_order_only,100,0.9652567975830816,0.0017623363544814197,-0.0005590539945718231,0.004334061523440099,0.02874087591240876,-0.018905109489051095,-0.02114347981315641,-0.01692031810571634
vlsat,mlp_all_families,5,0.4179254783484391,-0.0015105740181268756,-0.005637197013433302,0.0027137540735275344,0.00145985401459854,-0.00145985401459854,-0.003278688524590164,0.0
vlsat,mlp_all_families,10,0.6321752265861027,0.0,-0.003915281633226806,0.0035764719078570394,0.004379562043795621,-0.003832116788321168,-0.0066436125255107305,-0.0014332476924540875
vlsat,mlp_all_families,20,0.8086606243705942,0.0012588116817724426,-0.002160194798519735,0.004572020758124679,0.010127737226277373,-0.004105839416058393,-0.006018355538267042,-0.002563520871143376
vlsat,mlp_all_families,50,0.9274924471299094,0.0002517623363544885,-0.0022099186759033107,0.0026189005047572737,0.019233576642335767,-0.007518248175182481,-0.009608963310749237,-0.0057296749410662064
vlsat,mlp_all_families,100,0.9687814702920443,0.005287009063444148,0.0,0.011147885112886502,0.031697080291970804,-0.01594890510948905,-0.017934258643617022,-0.014049041551882467
open3dsg,source,5,0.03423967774420947,,,,0.5204502814258912,,,
open3dsg,source,10,0.0986908358509567,,,,0.32889305816135084,,,
open3dsg,source,20,0.19889224572004027,,,,0.2099437148217636,,,
open3dsg,source,50,0.4043303121852971,,,,0.13872203033488512,,,
open3dsg,source,100,0.5110775427995972,,,,0.12415160527720583,,,
open3dsg,identity_family_slots,5,0.03423967774420947,0.0,0.0,0.0,0.5204502814258912,0.0,0.0,0.0
open3dsg,identity_family_slots,10,0.0986908358509567,0.0,0.0,0.0,0.32889305816135084,0.0,0.0,0.0
open3dsg,identity_family_slots,20,0.19889224572004027,0.0,0.0,0.0,0.2099437148217636,0.0,0.0,0.0
open3dsg,identity_family_slots,50,0.4043303121852971,0.0,0.0,0.0,0.13872203033488512,0.0,0.0,0.0
open3dsg,identity_family_slots,100,0.5110775427995972,0.0,0.0,0.0,0.12415160527720583,0.0,0.0,0.0
open3dsg,linear_family_slots,5,0.03726082578046324,0.003021148036253772,0.001094598928735363,0.004894703891286947,0.009380863039399626,-0.5110694183864916,-0.5439121379850161,-0.4785804033547291
open3dsg,linear_family_slots,10,0.11379657603222558,0.015105740181268881,0.010385330095066989,0.020000129903871126,0.02326454033771107,-0.30562851782363976,-0.3254627075595368,-0.2850751243593609
open3dsg,linear_family_slots,20,0.23615307150050352,0.03726082578046325,0.029625879287111478,0.0446495806609887,0.031332082551594746,-0.17861163227016885,-0.18970862677792905,-0.16741422137617235
open3dsg,linear_family_slots,50,0.4418429003021148,0.037512588116817736,0.029600122393716715,0.04495412809252676,0.03423937528157381,-0.10448265505331131,-0.1106151210405097,-0.09855778140671302
open3dsg,linear_family_slots,100,0.5684793554884189,0.05740181268882172,0.046342555764666324,0.06864125628904925,0.03239151986578205,-0.09176008541142378,-0.09619342550294789,-0.0869382187746367
open3dsg,linear_pv_global,5,0.0798086606243706,0.04556898288016113,0.03786681915280065,0.05412533506778366,0.009380863039399626,-0.5110694183864916,-0.5439121379850161,-0.4785804033547291
open3dsg,linear_pv_global,10,0.15835850956696879,0.05966767371601209,0.050325790966558225,0.06905355232886692,0.02326454033771107,-0.30562851782363976,-0.3254627075595368,-0.2850751243593609
open3dsg,linear_pv_global,20,0.25327291037260824,0.05438066465256797,0.044785790000991636,0.063690664433435,0.031332082551594746,-0.17861163227016885,-0.18970862677792905,-0.16741422137617235
