source,method,k,metric,actual,expected,absolute_error
vlsat,source,5,recall,0.41943605236656595,0.41943605236656595,0.0
vlsat,source,5,violation_all,0.00291970802919708,0.00291970802919708,0.0
vlsat,source,10,recall,0.6321752265861027,0.6321752265861027,0.0
vlsat,source,10,violation_all,0.008211678832116789,0.008211678832116789,0.0
vlsat,source,20,recall,0.8074018126888217,0.8074018126888217,0.0
vlsat,source,20,violation_all,0.014233576642335766,0.014233576642335766,0.0
vlsat,source,50,recall,0.9272406847935549,0.9272406847935549,0.0
vlsat,source,50,violation_all,0.026751824817518248,0.026751824817518248,0.0
vlsat,source,100,recall,0.9634944612286002,0.9634944612286002,0.0
vlsat,source,100,violation_all,0.04764598540145985,0.04764598540145985,0.0
vlsat,linear__identity,5,recall,0.4206948640483384,0.4206948640483384,0.0
vlsat,linear__identity,5,violation_all,0.00145985401459854,0.00145985401459854,0.0
vlsat,linear__identity,10,recall,0.6339375629405841,0.6339375629405841,0.0
vlsat,linear__identity,10,violation_all,0.0056569343065693434,0.0056569343065693434,0.0
vlsat,linear__identity,20,recall,0.8081570996978852,0.8081570996978852,0.0
vlsat,linear__identity,20,violation_all,0.011405109489051095,0.011405109489051095,0.0
vlsat,linear__identity,50,recall,0.9277442094662638,0.9277442094662638,0.0
vlsat,linear__identity,50,violation_all,0.019744525547445255,0.019744525547445255,0.0
vlsat,linear__identity,100,recall,0.9657603222557906,0.9657603222557906,0.0
vlsat,linear__identity,100,violation_all,0.02948905109489051,0.02948905109489051,0.0
vlsat,mlp__identity,5,recall,0.4209466263846928,0.4209466263846928,0.0
vlsat,mlp__identity,5,violation_all,0.00145985401459854,0.00145985401459854,0.0
vlsat,mlp__identity,10,recall,0.6346928499496476,0.6346928499496476,0.0
vlsat,mlp__identity,10,violation_all,0.0051094890510948905,0.0051094890510948905,0.0
vlsat,mlp__identity,20,recall,0.8091641490433031,0.8091641490433031,0.0
vlsat,mlp__identity,20,violation_all,0.010948905109489052,0.010948905109489052,0.0
vlsat,mlp__identity,50,recall,0.9272406847935549,0.9272406847935549,0.0
vlsat,mlp__identity,50,violation_all,0.01886861313868613,0.01886861313868613,0.0
vlsat,mlp__identity,100,recall,0.9650050352467271,0.9650050352467271,0.0
vlsat,mlp__identity,100,violation_all,0.029635036496350364,0.029635036496350364,0.0
open3dsg,source,5,recall,0.03423967774420947,0.03423967774420947,0.0
open3dsg,source,5,violation_all,0.5204502814258912,0.5204502814258912,0.0
open3dsg,source,10,recall,0.0986908358509567,0.0986908358509567,0.0
open3dsg,source,10,violation_all,0.32889305816135084,0.32889305816135084,0.0
open3dsg,source,20,recall,0.19889224572004027,0.19889224572004027,0.0
open3dsg,source,20,violation_all,0.2099437148217636,0.2099437148217636,0.0
open3dsg,source,50,recall,0.4043303121852971,0.4043303121852971,0.0
open3dsg,source,50,violation_all,0.13872203033488512,0.13872203033488512,0.0
open3dsg,source,100,recall,0.5110775427995972,0.5110775427995972,0.0
open3dsg,source,100,violation_all,0.12415160527720583,0.12415160527720583,0.0
open3dsg,linear__identity,5,recall,0.03726082578046324,0.03726082578046324,0.0
open3dsg,linear__identity,5,violation_all,0.009380863039399626,0.009380863039399626,0.0
open3dsg,linear__identity,10,recall,0.11379657603222558,0.11379657603222558,0.0
open3dsg,linear__identity,10,violation_all,0.02326454033771107,0.02326454033771107,0.0
open3dsg,linear__identity,20,recall,0.23615307150050352,0.23615307150050352,0.0
open3dsg,linear__identity,20,violation_all,0.031332082551594746,0.031332082551594746,0.0
open3dsg,linear__identity,50,recall,0.4418429003021148,0.4418429003021148,0.0
open3dsg,linear__identity,50,violation_all,0.03423937528157381,0.03423937528157381,0.0
open3dsg,linear__identity,100,recall,0.5684793554884189,0.5684793554884189,0.0
open3dsg,linear__identity,100,violation_all,0.03239151986578205,0.03239151986578205,0.0
open3dsg,mlp__identity,5,recall,0.03700906344410876,0.03700906344410876,0.0
open3dsg,mlp__identity,5,violation_all,0.04953095684803002,0.04953095684803002,0.0
open3dsg,mlp__identity,10,recall,0.11782477341389729,0.11782477341389729,0.0
open3dsg,mlp__identity,10,violation_all,0.04971857410881801,0.04971857410881801,0.0
open3dsg,mlp__identity,20,recall,0.24672708962739173,0.24672708962739173,0.0
open3dsg,mlp__identity,20,violation_all,0.045590994371482174,0.045590994371482174,0.0
open3dsg,mlp__identity,50,recall,0.46701913393756295,0.46701913393756295,0.0
open3dsg,mlp__identity,50,violation_all,0.041297492115933324,0.041297492115933324,0.0
open3dsg,mlp__identity,100,recall,0.5989425981873112,0.5989425981873112,0.0
open3dsg,mlp__identity,100,violation_all,0.03713871730343934,0.03713871730343934,0.0
sgfn,source,5,recall,0.3116817724068479,0.3116817724068479,0.0
sgfn,source,5,violation_all,0.023722627737226276,0.023722627737226276,0.0
sgfn,source,10,recall,0.39753272910372606,0.39753272910372606,0.0
sgfn,source,10,violation_all,0.034854014598540144,0.034854014598540144,0.0
sgfn,source,20,recall,0.4911883182275932,0.4911883182275932,0.0
sgfn,source,20,violation_all,0.03220802919708029,0.03220802919708029,0.0
sgfn,source,50,recall,0.7401812688821753,0.7401812688821753,0.0
sgfn,source,50,violation_all,0.03846715328467153,0.03846715328467153,0.0
sgfn,source,100,recall,0.9234642497482377,0.9234642497482377,0.0
sgfn,source,100,violation_all,0.06297445255474453,0.06297445255474453,0.0
sgfn,linear__identity,5,recall,0.3116817724068479,0.3116817724068479,0.0
sgfn,linear__identity,5,violation_all,0.023722627737226276,0.023722627737226276,0.0
sgfn,linear__identity,10,recall,0.39753272910372606,0.39753272910372606,0.0
sgfn,linear__identity,10,violation_all,0.03467153284671533,0.03467153284671533,0.0
sgfn,linear__identity,20,recall,0.4914400805639476,0.4914400805639476,0.0
sgfn,linear__identity,20,violation_all,0.029744525547445257,0.029744525547445257,0.0
sgfn,linear__identity,50,recall,0.7449647532729103,0.7449647532729103,0.0
sgfn,linear__identity,50,violation_all,0.026313868613138686,0.026313868613138686,0.0
sgfn,linear__identity,100,recall,0.9302618328298087,0.9302618328298087,0.0
sgfn,linear__identity,100,violation_all,0.03501824817518248,0.03501824817518248,0.0
sgfn,mlp__identity,5,recall,0.3116817724068479,0.3116817724068479,0.0
sgfn,mlp__identity,5,violation_all,0.023722627737226276,0.023722627737226276,0.0
sgfn,mlp__identity,10,recall,0.39753272910372606,0.39753272910372606,0.0
sgfn,mlp__identity,10,violation_all,0.03467153284671533,0.03467153284671533,0.0
sgfn,mlp__identity,20,recall,0.4919436052366566,0.4919436052366566,0.0
sgfn,mlp__identity,20,violation_all,0.029562043795620437,0.029562043795620437,0.0
sgfn,mlp__identity,50,recall,0.7457200402819738,0.7457200402819738,0.0
sgfn,mlp__identity,50,violation_all,0.025766423357664235,0.025766423357664235,0.0
sgfn,mlp__identity,100,recall,0.9287512588116817,0.9287512588116817,0.0
sgfn,mlp__identity,100,violation_all,0.035036496350364967,0.035036496350364967,0.0
