source,method,k,recall,recall_delta,recall_delta_ci95_low,recall_delta_ci95_high,violation,violation_delta,violation_delta_ci95_low,violation_delta_ci95_high,decidable_violation,uncertainty,status_coverage,decidable_coverage,selected
vlsat,hard_tail,5,0.41968781470292044,0.0002517623363544885,0.0,0.0008386344773868472,0.00145985401459854,-0.00145985401459854,-0.0029859194593072373,-0.0003424219971529252,0.0016985138004246285,0.14051094890510948,1.0,0.8594890510948905,2740
vlsat,hard_tail,10,0.6334340382678751,0.0012588116817724426,0.0002447181968811774,0.0028803917766349217,0.004744525547445255,-0.0034671532846715335,-0.006017699115044247,-0.0012914534532085656,0.005541346973572037,0.1437956204379562,1.0,0.8562043795620438,5480
vlsat,hard_tail,20,0.8079053373615307,0.000503524672708977,0.0,0.001425902162034348,0.009945255474452555,-0.00428832116788321,-0.006385351953131914,-0.0025084875551557202,0.012277539986483442,0.18996350364963505,1.0,0.810036496350365,10960
vlsat,hard_tail,50,0.9269889224572004,-0.0002517623363544885,-0.0008365983972890567,0.0,0.016058394160583942,-0.010693430656934306,-0.013171959684816143,-0.008517846058348853,0.022252566631264858,0.27835766423357666,1.0,0.7216423357664233,27400
vlsat,hard_tail,100,0.9637462235649547,0.0002517623363544885,-0.0011279540455922527,0.0013443886897237356,0.020273722627737228,-0.027372262773722626,-0.030200540007630353,-0.025051421605329343,0.03153651820942973,0.35713503649635037,1.0,0.6428649635036496,54800
vlsat,hard_drop,5,0.41968781470292044,0.0002517623363544885,0.0,0.0009474576204516082,0.0,-0.00291970802919708,-0.005167011893167259,-0.0010506507929727786,0.0,0.14124087591240875,1.0,0.8587591240875913,2740
vlsat,hard_drop,10,0.6316717019133937,-0.000503524672708977,-0.0015396953305055444,0.0004786496071723433,0.0,-0.008211678832116789,-0.011546147216119029,-0.005251821349382326,0.0,0.14470802919708028,1.0,0.8552919708029197,5480
vlsat,hard_drop,20,0.8074018126888217,0.0,-0.0015645413480630476,0.0015350790080603685,0.0,-0.014233576642335766,-0.017178651957587162,-0.011599724269416458,0.0,0.19197080291970803,1.0,0.808029197080292,10960
vlsat,hard_drop,50,0.925730110775428,-0.0015105740181269312,-0.00344323188522673,0.00026629020422102006,0.0,-0.026751824817518248,-0.030020905198374893,-0.023639152610174012,0.0,0.285,1.0,0.715,27400
vlsat,hard_drop,100,0.9627391742195368,-0.0007552870090633546,-0.003710839785723674,0.0020146058927221766,0.0,-0.04764598540145985,-0.05125286453912748,-0.04429499631594686,0.0,0.3711505814059619,1.0,0.6288494185940381,54781
vlsat,mlp__identity,5,0.4209466263846928,0.0015105740181268756,0.0,0.0032773256931026822,0.00145985401459854,-0.00145985401459854,-0.0029859194593072373,-0.0003424219971529252,0.0016985138004246285,0.14051094890510948,1.0,0.8594890510948905,2740
vlsat,mlp__identity,10,0.6346928499496476,0.0025176233635448853,0.0007367760427136827,0.004636123788799751,0.0051094890510948905,-0.003102189781021898,-0.005254557740970784,-0.001144714100532911,0.005957446808510639,0.14233576642335766,1.0,0.8576642335766423,5480
vlsat,mlp__identity,20,0.8091641490433031,0.0017623363544814197,0.0005134656494984069,0.003357611796964521,0.010948905109489052,-0.003284671532846714,-0.00486643332432615,-0.001972684646699622,0.013480116827679174,0.18777372262773723,1.0,0.8122262773722628,10960
vlsat,mlp__identity,50,0.9272406847935549,0.0,-0.0010153514137722169,0.001012466145964297,0.01886861313868613,-0.007883211678832117,-0.009839914907678961,-0.006200525882836831,0.025962938783709134,0.27324817518248173,1.0,0.7267518248175182,27400
vlsat,mlp__identity,100,0.9650050352467271,0.0015105740181269312,-0.0007785033547205777,0.0039439053061912305,0.029635036496350364,-0.01801094890510949,-0.01991022282844865,-0.01632376829954955,0.04530112415966973,0.34582116788321166,1.0,0.6541788321167883,54800
vlsat,source,5,0.41943605236656595,,,,0.00291970802919708,,,,0.003397027600849257,0.14051094890510948,1.0,0.8594890510948905,2740
vlsat,source,10,0.6321752265861027,,,,0.008211678832116789,,,,0.009586706433745207,0.14343065693430657,1.0,0.8565693430656934,5480
vlsat,source,20,0.8074018126888217,,,,0.014233576642335766,,,,0.017543859649122806,0.18868613138686133,1.0,0.8113138686131387,10960
vlsat,source,50,0.9272406847935549,,,,0.026751824817518248,,,,0.036848984516388496,0.274014598540146,1.0,0.725985401459854,27400
vlsat,source,100,0.9634944612286002,,,,0.04764598540145985,,,,0.07289834436161599,0.3464051094890511,1.0,0.6535948905109489,54800
vlsat,linear__identity,5,0.4206948640483384,0.0012588116817724426,0.0,0.0026413974116138756,0.00145985401459854,-0.00145985401459854,-0.0029859194593072373,-0.0003424219971529252,0.001697792869269949,0.14014598540145987,1.0,0.8598540145985402,2740
vlsat,linear__identity,10,0.6339375629405841,0.0017623363544814197,0.0005046522826060191,0.0035053436795994234,0.0056569343065693434,-0.0025547445255474453,-0.004514249213836478,-0.0009325776560004409,0.006602768903088392,0.14324817518248176,1.0,0.8567518248175182,5480
vlsat,linear__identity,20,0.8081570996978852,0.0007552870090634656,-0.0002568152491646325,0.0019209956424520696,0.011405109489051095,-0.002828467153284671,-0.004332317280839179,-0.0015843925074611233,0.014057579847053532,0.18868613138686133,1.0,0.8113138686131387,10960
vlsat,linear__identity,50,0.9277442094662638,0.000503524672708866,-0.0005222651861366389,0.0017859547319825529,0.019744525547445255,-0.007007299270072993,-0.008759383420410128,-0.005499990429980958,0.027242056498313107,0.27521897810218976,1.0,0.7247810218978102,27400
vlsat,linear__identity,100,0.9657603222557906,0.0022658610271903967,0.0002705209384591567,0.004625680025367129,0.02948905109489051,-0.018156934306569342,-0.019962126562232497,-0.016545292291262906,0.04518004920599419,0.3472992700729927,1.0,0.6527007299270073,54800
vlsat,positive_density,5,0.41137965760322254,-0.00805639476334341,-0.014847592130697789,-0.0020462852352448064,0.0032846715328467154,0.0003649635036496353,0.0,0.0011628471438247911,0.0038461538461538464,0.145985401459854,1.0,0.8540145985401459,2740
vlsat,positive_density,10,0.62134944612286,-0.010825780463242674,-0.0168402777777777,-0.005103062710973802,0.009671532846715328,0.0014598540145985394,0.00018895685905229013,0.0031311898915490073,0.01137095043981978,0.14945255474452554,1.0,0.8505474452554744,5480
vlsat,positive_density,20,0.7983383685800605,-0.009063444108761254,-0.01528302093332341,-0.0032057822915706135,0.015145985401459854,0.0009124087591240882,8.830088093835917e-05,0.0017476733040628278,0.018776156543377446,0.19333941605839416,1.0,0.8066605839416059,10960
vlsat,positive_density,50,0.9176737160120846,-0.009566968781470342,-0.014580001610262423,-0.00450643583667865,0.02678832116788321,3.649635036496318e-05,-0.0006812512218963825,0.0007254027063370418,0.037126960040465354,0.27846715328467153,1.0,0.7215328467153285,27400
