seed,estimator,source,k,recall,violation
20260714,linear,vlsat,5,0.4206948640483384,0.00145985401459854
20260714,linear,vlsat,10,0.6339375629405841,0.0056569343065693434
20260714,linear,vlsat,20,0.8081570996978852,0.011405109489051095
20260714,linear,vlsat,50,0.9277442094662638,0.019744525547445255
20260714,linear,vlsat,100,0.9657603222557906,0.02948905109489051
20260714,linear,open3dsg,5,0.03726082578046324,0.009380863039399626
20260714,linear,open3dsg,10,0.11379657603222558,0.02326454033771107
20260714,linear,open3dsg,20,0.23615307150050352,0.031332082551594746
20260714,linear,open3dsg,50,0.4418429003021148,0.03423937528157381
20260714,linear,open3dsg,100,0.5684793554884189,0.03239151986578205
20260714,linear,sgfn,5,0.3116817724068479,0.023722627737226276
20260714,linear,sgfn,10,0.39753272910372606,0.03467153284671533
20260714,linear,sgfn,20,0.4914400805639476,0.029744525547445257
20260714,linear,sgfn,50,0.7449647532729103,0.026313868613138686
20260714,linear,sgfn,100,0.9302618328298087,0.03501824817518248
20260714,mlp,vlsat,5,0.4209466263846928,0.00145985401459854
20260714,mlp,vlsat,10,0.6346928499496476,0.0051094890510948905
20260714,mlp,vlsat,20,0.8091641490433031,0.010948905109489052
20260714,mlp,vlsat,50,0.9272406847935549,0.01886861313868613
20260714,mlp,vlsat,100,0.9650050352467271,0.029635036496350364
20260714,mlp,open3dsg,5,0.03700906344410876,0.04953095684803002
20260714,mlp,open3dsg,10,0.11782477341389729,0.04971857410881801
20260714,mlp,open3dsg,20,0.24672708962739173,0.045590994371482174
20260714,mlp,open3dsg,50,0.46701913393756295,0.041297492115933324
20260714,mlp,open3dsg,100,0.5989425981873112,0.03713871730343934
20260714,mlp,sgfn,5,0.3116817724068479,0.023722627737226276
20260714,mlp,sgfn,10,0.39753272910372606,0.03467153284671533
20260714,mlp,sgfn,20,0.4919436052366566,0.029562043795620437
20260714,mlp,sgfn,50,0.7457200402819738,0.025766423357664235
20260714,mlp,sgfn,100,0.9287512588116817,0.035036496350364967
20260715,linear,vlsat,5,0.4206948640483384,0.00145985401459854
20260715,linear,vlsat,10,0.6339375629405841,0.0056569343065693434
20260715,linear,vlsat,20,0.8081570996978852,0.011405109489051095
20260715,linear,vlsat,50,0.9277442094662638,0.019744525547445255
20260715,linear,vlsat,100,0.9657603222557906,0.02948905109489051
20260715,linear,open3dsg,5,0.03726082578046324,0.009380863039399626
20260715,linear,open3dsg,10,0.11379657603222558,0.02326454033771107
20260715,linear,open3dsg,20,0.23615307150050352,0.031332082551594746
20260715,linear,open3dsg,50,0.4418429003021148,0.03423937528157381
20260715,linear,open3dsg,100,0.5684793554884189,0.03239151986578205
20260715,linear,sgfn,5,0.3116817724068479,0.023722627737226276
20260715,linear,sgfn,10,0.39753272910372606,0.03467153284671533
20260715,linear,sgfn,20,0.4914400805639476,0.029744525547445257
20260715,linear,sgfn,50,0.7449647532729103,0.026313868613138686
20260715,linear,sgfn,100,0.9302618328298087,0.03501824817518248
20260715,mlp,vlsat,5,0.4211983887210473,0.00145985401459854
20260715,mlp,vlsat,10,0.6334340382678751,0.005474452554744526
20260715,mlp,vlsat,20,0.8086606243705942,0.011952554744525548
